00:00:28:08 00:00:31:05 愿神祝福你们
00:50:37:03 00:50:38:10 这就是制衡
00:50:38:21 00:50:40:18 你也可以同样的这样做
00:50:41:02 00:50:43:14 她保管支票簿而你来签署
00:50:43:23 00:50:46:03 那么你便知道花了多少钱
00:50:46:14 00:50:47:15 这就是制衡
00:50:48:01 00:50:50:10 当然，对你们，
00:50:50:18 00:50:52:21 我知道是没问题，但仍要…
00:50:53:07 00:50:57:12 我为什么要做这么多事情，只为令你明白
00:50:58:02 00:51:02:15 就如你给我崇拜的钱，我把它保管
00:51:03:03 00:51:04:11 把它存入一个特别为它开立的银行户口里
00:51:04:22 00:51:06:12 没有需要︰有谁会问我
00:51:06:21 00:51:08:08 怎样运用这些崇拜收来的钱？
00:51:08:19 00:51:11:18 但我的确，我的确保管着这些钱
00:51:12:05 00:51:15:12 我把崇拜的钱用在
00:51:15:24 00:51:19:03 购买崇拜物料，崇拜的东西
00:51:19:12 00:51:20:11 礼物等等
00:51:20:18 00:51:22:21 所以我保管钱，我不需要这样做，这是我的钱
00:51:23:05 00:51:26:04 最少这是我的
00:51:27:00 00:51:28:24 但我的喜乐就是这样
00:51:29:09 00:51:31:19 所以你们要知道
00:51:32:02 00:51:37:12 若母亲对钱很严格谨慎，为什么我不能？
00:51:38:09 00:51:41:02 在崇拜中你要付钱，毋庸置疑
00:51:41:13 00:51:42:17 因为就是要这样
00:51:43:01 00:51:44:15 我们首先拿一个”p”(编按︰应是英镑)
00:51:45:02 00:51:49:03 接着两个”p”，再接着五个”p”，十个”p”
00:51:49:15 00:51:52:04 钱就是这样累积起来
00:51:52:16 00:51:53:23 对这些崇拜…
00:51:54:07 00:51:56:02 对主要的崇拜，我们将会举行的崇拜
00:51:56:12 00:51:58:21 一个在纽约，他们已经决定收取某个金额
00:51:59:06 00:52:01:01 这是你的决定，我从来没有说什么
00:52:01:12 00:52:04:01 因为我只要最少一镑，我在那里
00:52:04:12 00:52:06:23 接着我也不知道，我也有点迷失
00:52:07:15 00:52:11:00 无论他们有任何决定，就是这样
00:52:11:12 00:52:14:23 是以崇拜名义收集的钱，
00:52:15:10 00:52:19:09 是我为脐轮收取的
00:52:19:21 00:52:24:00 你们要真心的去做，就像Shabari形式
00:52:24:12 00:52:29:07 一切都会恰如其分
00:52:30:11 00:52:35:04 所以我们可以说
00:52:35:17 00:52:38:19 霎哈嘉瑜伽并不极端
00:52:39:06 00:52:41:00 我们的确要付钱
00:52:41:10 00:52:44:00 但只有霎哈嘉瑜伽士才能捐钱
00:52:44:14 00:52:47:02 例如你要付食物的钱
00:52:47:14 00:52:48:22 付房租
00:52:49:07 00:52:52:06 你的确要付钱，你不能活得像寄生虫
00:52:52:18 00:52:54:20 我们都不想周遭有寄生虫
00:52:55:07 00:52:57:09 这不是说你要洗劫霎哈嘉瑜伽士一空
00:52:57:18 00:53:00:21 令他变成贫民来为自己
00:53:01:07 00:53:05:06 购买劳斯莱斯(车辆)
00:53:07:17 00:53:13:10 同样，你们不是要抢劫我
00:53:17:09 00:53:21:16 所以我们要明白，霎哈嘉瑜伽是付出和拿取
00:53:22:02 00:53:24:10 以正当的态度
00:53:24:22 00:53:29:02 要以感恩、
00:53:29:14 00:53:33:21 体谅、漂亮的感觉去做
00:53:34:08 00:53:37:24 我们都是整体的一部分
00:53:40:23 00:53:44:22 因此美国是有责任
00:53:45:09 00:53:49:04 因为美国要成为宇宙大我(virat)
00:53:52:11 00:53:56:10 喉轮要成为宇宙大我
00:53:58:06 00:54:00:22 这是何等的责任！
00:54:01:11 00:54:03:11 所以你们不要争吵
00:54:03:23 00:54:07:04 丈夫和妻子不要争吵
00:54:07:18 00:54:14:15 尝试完全合一，享受共处
00:54:15:00 00:54:18:04 这是很重要的，对吧！
00:54:18:12 00:54:19:14 愿神祝福你们
00:54:19:22 00:54:22:19 (马拉地语︰这是宇宙大我的地方)
00:54:23:06 00:54:29:21 即使现在，喉轮也有阻塞，对吧
00:54:30:17 00:54:34:17 (马拉地语。指导崇拜)
00:56:47:01 00:56:51:18 现在，我想那些还未有为我洗脚的人来
00:56:52:05 00:56:54:22 上前来
00:56:58:05 00:57:00:10 一个接一个
00:57:06:14 00:57:08:19 让他们来处理
00:57:09:02 00:57:10:13 …可以这样做
00:57:10:21 00:57:12:15 丹尼，你也来这里
00:57:12:23 00:57:17:10 现在，两个人一起做
00:57:31:00 00:57:33:18 这是很冷的水
00:57:45:15 00:57:48:11 很好，很好，很好
00:57:53:03 00:57:56:12 擦它，擦我的双脚
00:59:05:15 00:59:08:17 现在只看你的生命能量
00:59:12:10 00:59:14:11 好吧？
00:59:14:19 00:59:16:07 好？
00:59:16:15 00:59:18:16 愿神祝福你，现在来吧
00:59:19:03 00:59:21:00 应是暖的
00:59:35:00 00:59:39:09 来吧，你们两个
00:59:44:02 00:59:46:20 愿神祝福你们
00:59:50:18 00:59:52:18 擦它
00:59:53:04 00:59:55:16 把它放在这里
00:59:56:20 00:59:59:10 擦它
01:01:12:03 01:01:16:02 完成了，现在，来吧，看看你的生命能量
01:01:24:21 01:01:26:20 现在，保持微笑，会没问题的
01:01:27:03 01:01:30:15 没问题，纱丽会干
01:01:32:18 01:01:35:03 愿神祝福你
01:01:35:20 01:01:38:03 在双眼和头，擦它
01:01:38:13 01:01:41:04 来吧
01:01:44:01 01:01:46:21 好吧
01:01:59:18 01:02:02:02 愿神祝福你
01:02:08:06 01:02:14:10 用一只手拿它，拿紧，另一只手，大力擦
01:02:38:18 01:02:44:08 呀，好，你能好好的感觉生命能量
01:02:45:07 01:02:50:09 你的右…左手，擦它，尾指，把它拉出来
01:02:51:04 01:02:54:10 尾指，拉它出来
01:03:56:08 01:03:58:21 得到了
01:03:59:14 01:04:02:10 现在，看看你的生命能量
01:04:09:10 01:04:11:11 愿神祝福你
01:04:12:17 01:04:14:18 在双眼和头
01:04:15:01 01:04:18:06 来吧，你的脸跟它转
01:04:20:04 01:04:22:20 对吗？好，愿神祝福你
01:04:28:08 01:04:31:09 很棒
01:04:58:06 01:05:02:04 就这样，来吧，这比较好
01:05:02:20 01:05:06:05 对，现在紧握它
01:05:08:11 01:05:10:05 用整只手去擦
01:05:10:14 01:05:14:19 你看，手，要擦你的手，不是我的脚
01:05:16:13 01:05:20:05 拉它出来，紧紧的拉
01:05:34:00 01:05:36:15 呀！
01:06:55:18 01:06:58:13 好
01:06:59:08 01:07:01:06 我想我们都妥当
01:07:02:03 01:07:04:16 现在只要坐下，在这边
01:07:11:22 01:07:13:22 好吧？
01:07:17:12 01:07:19:15 你不能拿着它
01:07:19:24 01:07:21:19 把它放在头上
01:07:22:03 01:07:25:15 在头上，接着擦你的眼睛
01:07:32:01 01:07:34:10 愿神祝福你
01:07:44:15 01:07:47:05 我想你与他一起来，不要紧
01:07:48:23 01:07:51:17 不要紧，一点水
01:07:52:00 01:07:56:01 现在，你可以用同样的水来清洗我的脚，来吧
01:08:03:06 01:08:06:15 愿神祝福你
01:08:07:11 01:08:09:08 现在…
01:08:15:02 01:08:20:04 拿着它，大力擦
01:08:26:13 01:08:29:15 大力擦
01:09:14:21 01:09:17:14 现在看
01:09:29:12 01:09:31:24 现在
01:09:34:00 01:09:36:03 好吧？
01:09:36:20 01:09:40:18 看看左边，一点点
01:10:17:13 01:10:18:17 好吧
01:10:18:22 01:10:20:15 坐下时，把左手向着我
01:10:20:23 01:10:23:04 右手放在大地之母
01:10:23:17 01:10:28:18 好？愿神祝福你
01:11:39:06 01:11:42:18 好，现在，只看自己
01:11:53:03 01:11:55:09 你好吗？好吧？
01:11:55:19 01:11:58:21 还没有感觉？
01:12:03:12 01:12:05:17 好，非常好
01:12:12:13 01:12:15:08 愿神祝福你
01:12:43:10 01:12:47:15 把左手放在这里，擦它
01:13:25:16 01:13:28:17 好吧，你现在看看
01:13:36:17 01:13:38:00 好吧？
01:13:45:23 01:13:48:13 愿神祝福你们
01:13:52:07 01:13:57:23 把它先放在你的头上，再放在双眼
01:13:59:01 01:14:00:23 好，很好
01:14:01:08 01:14:04:21 感到好吗？辛尼，呀！
01:14:18:17 01:14:21:11 从这边提高一点，这个
01:14:21:21 01:14:25:02 这边，对
01:14:27:18 01:14:30:03 可以了
01:15:17:11 01:15:20:00 完成了
01:15:20:14 01:15:23:09 你自己现在看
01:15:29:13 01:15:32:13 愿神祝福你
01:15:38:12 01:15:41:02 他洗了没有？
01:15:42:21 01:15:45:00 她的丈夫？
01:15:45:09 01:15:48:03 他有没有洗我的双脚？
01:15:48:22 01:15:52:24 你们两个？两个都洗了
01:15:54:03 01:15:56:14 好吧
01:15:57:19 01:15:59:16 那么，你想多洗一次吗？
01:16:00:01 01:16:03:12 好吧，现在来
01:16:06:06 01:16:09:12 积，没事吗？
01:16:11:18 01:16:14:13 好一点
01:16:15:24 01:16:18:00 好吧
01:16:18:12 01:16:20:13 让他来弄水
01:16:32:17 01:16:34:14 把双手合上
01:16:34:22 01:16:37:09 叫他来弄水，这样好一点
01:16:37:20 01:16:40:18 在水里。叫他把脚浸在水里
01:16:46:04 01:16:50:08 把它放在我上，清洗我的脚
01:16:50:21 01:16:52:23 好，好，好
01:16:53:05 01:16:55:03 接着触摸我的脚
01:16:55:11 01:16:58:06 现在把他的手放在我上
01:17:18:00 01:17:20:23 好，喂，好吧
01:17:26:19 01:17:29:01 愿神祝福你们
01:17:29:11 01:17:31:22 他现在妥当了
01:17:32:17 01:17:35:18 你洗了，你们两个都洗了
01:19:17:24 01:19:20:16 放多一点水
01:19:23:10 01:19:26:08 把这些全倒下
01:19:29:10 01:19:32:00 要更多
01:19:36:12 01:19:38:15 这样比较好
01:21:39:15 01:21:42:19 108个名号
01:21:49:05 01:21:52:14 你说你有108个名号
01:22:03:02 01:22:06:00 108个名号
01:22:30:03 01:22:32:13 你向我显示千个名号
01:22:33:03 01:22:35:18 …这是
01:22:36:04 01:22:39:07 108
01:23:17:15 01:23:20:20 这是摩诃迦利的
01:23:23:11 01:23:26:16 108个名号？
01:23:30:23 01:23:33:14 噢，念诵100个名号
01:23:37:21 01:23:39:01 是从Shri Mata开始念？
01:23:39:09 01:23:42:01 拿走这个，好吗
01:23:50:03 01:23:51:08 Sahasranama.
01:23:51:17 01:23:54:09 对，我们有Shri Lalita
01:24:04:12 01:24:05:22 这是赞颂
01:24:06:05 01:24:08:09 在女神杀掉两个
01:24:08:18 01:24:10:08 叫作Shumba, Nishumba的恶魔后
01:24:10:18 01:24:13:02 他们都回归原来的位置
01:24:13:11 01:24:17:03 所以现在对神的赞颂
01:24:17:14 01:24:19:10 你也要做同样的赞颂
01:24:19:22 01:24:21:17 现在，我们会开始，你也知道
01:24:22:03 01:24:24:11 他会念到某一限度
01:24:24:22 01:24:27:18 接着他们告诉你
01:24:28:05 01:24:30:13 你要说︰“Ya Devi sarva bhuteshu”
01:24:30:24 01:24:33:09 他会告诉你︰ “Buddhi”所以你要放它
01:24:33:18 01:24:36:04 “Ya Devi sarva bhuteshu Buddhi rupena samsthita.”
01:24:36:13 01:24:38:09 你知道 – “Namas Tasyai namas Tasyai
01:24:38:18 01:24:39:19 namas Tasyai namoh namah.”
01:26:40:16 01:26:43:02 他会先说它的开始
01:26:43:11 01:26:46:07 这就是神怎样…怎样赞颂女神
01:26:46:17 01:26:49:21 当她杀掉 Shumba, Nishumba，所以…
01:26:54:03 01:26:57:08 你要先用…你们称为
01:26:57:15 01:26:59:09 酥油
01:26:59:22 01:27:01:24 这里没有匙
01:27:02:10 01:27:05:21 酥油，最少要有匙
01:28:09:13 01:28:12:07 也要有月亮
01:28:12:16 01:28:14:08 她喜欢月亮
01:28:14:17 01:28:16:23 脸像月亮…
01:28:21:13 01:28:23:22 只是水
01:28:38:23 01:28:41:18 “Sarva”是精粹
01:28:42:06 01:28:45:00 是她统领万物
01:28:57:14 01:29:04:06 极之温和，极之严厉
01:29:11:07 01:29:14:04 我们是聪明才智
01:29:16:15 01:29:18:24 她是每个人类的聪明才智
01:29:19:09 01:29:20:17 她表达为聪明才智
01:29:21:00 01:29:23:00 每个人的纯粹才智
01:29:34:09 01:29:35:24 所以你只要说“Shraddha.”
01:29:36:08 01:29:37:23 你现在重复一次
01:29:38:07 01:29:40:22 现在你说︰“Shraddha”
01:31:59:12 01:32:02:16 应该是糖，接着是水
01:34:42:22 01:34:45:03 现在未婚女孩
01:34:49:16 01:34:52:05 未婚的
01:35:43:05 01:35:45:24 她通常在孟买常做
01:35:57:00 01:35:59:00 你也同样这样做
01:36:10:05 01:36:12:12 现在
01:36:35:20 01:36:36:23 你应说
01:36:40:15 01:36:43:13 “Sakshat Shri Mataji Shri Nirmala Devi namoh namah.
01:36:43:20 01:36:45:21 Shri Mata Sakshat Shri …”
01:36:46:05 01:36:48:23 你说什么？
01:36:51:19 01:36:54:12 只说︰“Om twamewa sakshat Shri Mata,”
01:36:54:20 01:36:56:06 就这样 “namoh namah.”
01:36:56:13 01:36:58:24 对，就是这样，就是这样
01:37:04:01 01:37:06:08 (练习者︰Mahadevi 在"Shri Lalita Sahasranama里
01:37:06:17 01:37:10:10 千个名号中的108个)
01:37:48:11 01:37:51:22 最先是“Shri Mata.”所以现在说
01:40:49:12 01:40:51:20 “Pataka nashini”
01:40:53:03 01:40:55:04 罪孽的杀戮者
01:40:55:13 01:40:57:05 这就是为何我说，不要内疚
01:40:57:16 01:41:00:09 她是所有罪孽的杀戮者
01:41:01:18 01:41:04:15 Maha-pat: 最伟大的…
01:41:05:17 01:41:08:10 Maha-pataka nashini.
01:44:32:13 01:44:36:07 “Nistula” – 意思「无可比拟」
01:46:22:11 01:46:24:16 你应先触摸这里
01:46:32:20 01:46:35:13 最先
01:46:56:21 01:46:59:10 去洗手
01:47:05:22 01:47:09:21 未婚女士，未婚的
01:49:52:10 01:49:53:10 以Para-shakti
01:49:53:18 01:49:57:14 看着所有事情工作发生
01:50:01:12 01:50:04:11 “Yogada.”
01:50:05:04 01:50:08:17 我给了你们瑜伽，即联合
01:50:42:20 01:50:45:20 “Labdhaa. Punya-labhya” – 透过功德(punyas)
01:50:46:03 01:50:49:20 你要明白，若你没有功德，你不能找到什么
01:50:50:22 01:50:53:03 所以若很多人迷失，你不用担忧
01:50:53:10 01:50:55:09 他们没有功德，你能怎办？
01:50:55:19 01:50:58:02 “Punya-labdhaa.”
01:52:11:15 01:52:14:24 “Shobhana-sulabha-gati” – “Shobhana” 意思是「慈爱体恤」
01:52:15:09 01:52:18:02 “sulabha” 意思是「容易」而借着它
01:52:18:12 01:52:21:02 “gati” … 「移动」
01:52:21:18 01:52:25:10 你得到，你透过
01:52:25:18 01:52:26:24 “Shobhana-sulabha-gati.”得到自觉
01:52:27:09 01:52:30:03 没有不光彩的行为
01:52:30:15 01:52:33:01 或它漂亮的完成
01:52:33:14 01:52:36:13 也“sulabha”即容易
01:53:41:01 01:53:44:14 “Shubha-kari” – 祥瑞的赐予者
01:55:19:12 01:55:24:16 不是红的，不是，不是红的，现在，两个
01:56:25:08 01:56:27:14 未婚的
01:56:37:13 01:56:39:15 一个，一个人
01:56:39:24 01:56:42:13 好吧，你们全部人
01:56:48:12 01:56:51:08 你们全部人要把它拿在手中
01:56:53:01 01:56:55:08 现在，拿它在手中，你们全部人
01:56:55:11 01:56:57:04 现在从顶
01:56:57:12 01:57:01:06 对，拿着它，右手
01:57:01:16 01:57:05:00 用右手拿着，这里，一个人拿
01:57:07:10 01:57:11:02 现在，把它放下
01:57:14:14 01:57:17:10 谢谢
01:57:41:18 01:57:44:19 “Pasha-hantri, Pasha-hantri” –
01:57:47:21 01:57:49:18 你看，他们是受奴役.
01:57:50:03 01:57:54:18 她停止一切奴役
01:57:58:11 01:58:01:20 愿神祝福你们
02:00:32:24 02:00:36:00 “Vandaru-jana-vatsala”
02:00:36:21 02:00:39:02 那些向她顺服的人
02:00:39:11 02:00:45:19 她是…她对他们像母亲般仁慈
02:00:46:19 02:00:48:11 她照顾他们
02:00:48:19 02:00:51:19 那些向她顺服的人，她照顾他们
02:01:39:02 02:01:42:04 愿神祝福你们
