00:00:28:08 00:00:31:05 願神祝福你們
00:49:30:15 00:49:33:17 為了務實的原因，我已經決定
00:49:34:03 00:49:37:11 華醫生主管
00:49:37:22 00:49:43:15 東面
00:49:44:04 00:49:46:21 (馬拉地語)…
00:49:47:12 00:49:50:09 西面
00:49:50:19 00:49:53:11 對我們，紐約已是西方
00:49:53:23 00:49:57:09 好吧，東面是…紐約
00:49:57:20 00:50:00:21 由他來管
00:50:01:07 00:50:04:01 因為那裡是…就像兩個國家，兩個國家
00:50:04:11 00:50:05:18 兩個，不同類型的事情
00:50:06:06 00:50:07:24 就是這樣去管理
00:50:08:14 00:50:12:23 金錢的問題，你要取得他同意
00:50:13:07 00:50:14:10 才能處理金錢
00:50:14:21 00:50:18:10 所以我告訴他我是怎麽做的
00:50:18:20 00:50:22:03 錢是以註冊的名稱
00:50:22:14 00:50:24:19 存放在銀行裡，又或無論是怎樣的途徑
00:50:25:06 00:50:30:24 他們保管支票簿，但是要我才能簽署
00:50:31:22 00:50:34:01 你保管支票簿而只有他才能簽署
00:50:34:10 00:50:36:16 那麽他便知道你怎樣用錢
00:50:37:03 00:50:38:10 這就是制衡
00:50:38:21 00:50:40:18 你也可以同樣的這樣做
00:50:41:02 00:50:43:14 她保管支票簿而你來簽署
00:50:43:23 00:50:46:03 那麽你便知道花了多少錢
00:50:46:14 00:50:47:15 這就是制衡
00:50:48:01 00:50:50:10 當然，對你們，
00:50:50:18 00:50:52:21 我知道是沒問題，但仍要…
00:50:53:07 00:50:57:12 我為甚麽要做這麽多事情，只為令你明白
00:50:58:02 00:51:02:15 就如你給我崇拜的錢，我把它保管
00:51:03:03 00:51:04:11 把它存入一個特別為它開立的銀行戶口裡
00:51:04:22 00:51:06:12 沒有需要︰有誰會問我
00:51:06:21 00:51:08:08 怎樣運用這些崇拜收來的錢？
00:51:08:19 00:51:11:18 但我的確，我的確保管著這些錢
00:51:12:05 00:51:15:12 我把崇拜的錢用在
00:51:15:24 00:51:19:03 購買崇拜物料，崇拜的東西
00:51:19:12 00:51:20:11 禮物等等
00:51:20:18 00:51:22:21 所以我保管錢，我不需要這樣做，這是我的錢
00:51:23:05 00:51:26:04 最少這是我的
00:51:27:00 00:51:28:24 但我的喜樂就是這樣
00:51:29:09 00:51:31:19 所以你們要知道
00:51:32:02 00:51:37:12 若母親對錢很嚴格謹慎，為甚麽我不能？
00:51:38:09 00:51:41:02 在崇拜中你要付錢，毋庸置疑
00:51:41:13 00:51:42:17 因為就是要這樣
00:51:43:01 00:51:44:15 我們首先拿一個”p”(編按︰應是英鎊)
00:51:45:02 00:51:49:03 接著兩個”p”，再接著五個”p”，十個”p”
00:51:49:15 00:51:52:04 錢就是這樣累積起來
00:51:52:16 00:51:53:23 對這些崇拜…
00:51:54:07 00:51:56:02 對主要的崇拜，我們將會舉行的崇拜
00:51:56:12 00:51:58:21 一個在紐約，他們已經決定收取某個金額
00:51:59:06 00:52:01:01 這是你的決定，我從來沒有說甚麽
00:52:01:12 00:52:04:01 因為我只要最少一鎊，我在那裡
00:52:04:12 00:52:06:23 接著我也不知道，我也有點迷失
00:52:07:15 00:52:11:00 無論他們有任何決定，就是這樣
00:52:11:12 00:52:14:23 是以崇拜名義收集的錢，
00:52:15:10 00:52:19:09 是我為臍輪收取的
00:52:19:21 00:52:24:00 你們要真心的去做，就像Shabari形式
00:52:24:12 00:52:29:07 一切都會恰如其分
00:52:30:11 00:52:35:04 所以我們可以說
00:52:35:17 00:52:38:19 霎哈嘉瑜伽並不極端
00:52:39:06 00:52:41:00 我們的確要付錢
00:52:41:10 00:52:44:00 但只有霎哈嘉瑜伽士才能捐錢
00:52:44:14 00:52:47:02 例如你要付食物的錢
00:52:47:14 00:52:48:22 付房租
00:52:49:07 00:52:52:06 你的確要付錢，你不能活得像寄生蟲
00:52:52:18 00:52:54:20 我們都不想周遭有寄生蟲
00:52:55:07 00:52:57:09 這不是說你要洗劫霎哈嘉瑜伽士一空
00:52:57:18 00:53:00:21 令他變成貧民來為自己
00:53:01:07 00:53:05:06 購買勞斯萊斯(車輛)
00:53:07:17 00:53:13:10 同樣，你們不是要搶劫我
00:53:17:09 00:53:21:16 所以我們要明白，霎哈嘉瑜伽是付出和拿取
00:53:22:02 00:53:24:10 以正當的態度
00:53:24:22 00:53:29:02 要以感恩、
00:53:29:14 00:53:33:21 體諒、漂亮的感覺去做
00:53:34:08 00:53:37:24 我們都是整體的一部分
00:53:40:23 00:53:44:22 因此美國是有責任
00:53:45:09 00:53:49:04 因為美國要成為宇宙大我(virat)
00:53:52:11 00:53:56:10 喉輪要成為宇宙大我
00:53:58:06 00:54:00:22 這是何等的責任！
00:54:01:11 00:54:03:11 所以你們不要爭吵
00:54:03:23 00:54:07:04 丈夫和妻子不要爭吵
00:54:07:18 00:54:14:15 嘗試完全合一，享受共處
00:54:15:00 00:54:18:04 這是很重要的，對吧！
00:54:18:12 00:54:19:14 願神祝福你們
00:54:19:22 00:54:22:19 (馬拉地語︰這是宇宙大我的地方)
00:54:23:06 00:54:29:21 即使現在，喉輪也有阻塞，對吧
00:54:30:17 00:54:34:17 (馬拉地語。指導崇拜)
00:56:47:01 00:56:51:18 現在，我想那些還未有為我洗腳的人來
00:56:52:05 00:56:54:22 上前來
00:56:58:05 00:57:00:10 一個接一個
00:57:06:14 00:57:08:19 讓他們來處理
00:57:09:02 00:57:10:13 …可以這樣做
00:57:10:21 00:57:12:15 丹尼，你也來這裡
00:57:12:23 00:57:17:10 現在，兩個人一起做
00:57:31:00 00:57:33:18 這是很冷的水
00:57:45:15 00:57:48:11 很好，很好，很好
00:57:53:03 00:57:56:12 擦它，擦我的雙腳
00:59:05:15 00:59:08:17 現在只看你的生命能量
00:59:12:10 00:59:14:11 好吧？
00:59:14:19 00:59:16:07 好？
00:59:16:15 00:59:18:16 願神祝福你，現在來吧
00:59:19:03 00:59:21:00 應是暖的
00:59:35:00 00:59:39:09 來吧，你們兩個
00:59:44:02 00:59:46:20 願神祝福你們
00:59:50:18 00:59:52:18 擦它
00:59:53:04 00:59:55:16 把它放在這裡
00:59:56:20 00:59:59:10 擦它
01:01:12:03 01:01:16:02 完成了，現在，來吧，看看你的生命能量
01:01:24:21 01:01:26:20 現在，保持微笑，會沒問題的
01:01:27:03 01:01:30:15 沒問題，紗麗會乾
01:01:32:18 01:01:35:03 願神祝福你
01:01:35:20 01:01:38:03 在雙眼和頭，擦它
01:01:38:13 01:01:41:04 來吧
01:01:44:01 01:01:46:21 好吧
01:01:59:18 01:02:02:02 願神祝福你
01:02:08:06 01:02:14:10 用一隻手拿它，拿緊，另一隻手，大力擦
01:02:38:18 01:02:44:08 呀，好，你能好好的感覺生命能量
01:02:45:07 01:02:50:09 你的右…左手，擦它，尾指，把它拉出來
01:02:51:04 01:02:54:10 尾指，拉它出來
01:03:56:08 01:03:58:21 得到了
01:03:59:14 01:04:02:10 現在，看看你的生命能量
01:04:09:10 01:04:11:11 願神祝福你
01:04:12:17 01:04:14:18 在雙眼和頭
01:04:15:01 01:04:18:06 來吧，你的臉跟它轉
01:04:20:04 01:04:22:20 對嗎？好，願神祝福你
01:04:28:08 01:04:31:09 很棒
01:04:58:06 01:05:02:04 就這樣，來吧，這比較好
01:05:02:20 01:05:06:05 對，現在緊握它
01:05:08:11 01:05:10:05 用整隻手去擦
01:05:10:14 01:05:14:19 你看，手，要擦你的手，不是我的腳
01:05:16:13 01:05:20:05 拉它出來，緊緊的拉
01:05:34:00 01:05:36:15 呀！
01:06:55:18 01:06:58:13 好
01:06:59:08 01:07:01:06 我想我們都妥當
01:07:02:03 01:07:04:16 現在只要坐下，在這邊
01:07:11:22 01:07:13:22 好吧？
01:07:17:12 01:07:19:15 你不能拿著它
01:07:19:24 01:07:21:19 把它放在頭上
01:07:22:03 01:07:25:15 在頭上，接著擦你的眼睛
01:07:32:01 01:07:34:10 願神祝福你
01:07:44:15 01:07:47:05 我想你與他一起來，不要緊
01:07:48:23 01:07:51:17 不要緊，一點水
01:07:52:00 01:07:56:01 現在，你可以用同樣的水來清洗我的腳，來吧
01:08:03:06 01:08:06:15 願神祝福你
01:08:07:11 01:08:09:08 現在…
01:08:15:02 01:08:20:04 拿著它，大力擦
01:08:26:13 01:08:29:15 大力擦
01:09:14:21 01:09:17:14 現在看
01:09:29:12 01:09:31:24 現在
01:09:34:00 01:09:36:03 好吧？
01:09:36:20 01:09:40:18 看看左邊，一點點
01:10:17:13 01:10:18:17 好吧
01:10:18:22 01:10:20:15 坐下時，把左手向著我
01:10:20:23 01:10:23:04 右手放在大地之母
01:10:23:17 01:10:28:18 好？願神祝福你
01:11:39:06 01:11:42:18 好，現在，只看自己
01:11:53:03 01:11:55:09 你好嗎？好吧？
01:11:55:19 01:11:58:21 還沒有感覺？
01:12:03:12 01:12:05:17 好，非常好
01:12:12:13 01:12:15:08 願神祝福你
01:12:43:10 01:12:47:15 把左手放在這裡，擦它
01:13:25:16 01:13:28:17 好吧，你現在看看
01:13:36:17 01:13:38:00 好吧？
01:13:45:23 01:13:48:13 願神祝福你們
01:13:52:07 01:13:57:23 把它先放在你的頭上，再放在雙眼
01:13:59:01 01:14:00:23 好，很好
01:14:01:08 01:14:04:21 感到好嗎？辛尼，呀！
01:14:18:17 01:14:21:11 從這邊提高一點，這個
01:14:21:21 01:14:25:02 這邊，對
01:14:27:18 01:14:30:03 可以了
01:15:17:11 01:15:20:00 完成了
01:15:20:14 01:15:23:09 你自己現在看
01:15:29:13 01:15:32:13 願神祝福你
01:15:38:12 01:15:41:02 他洗了沒有？
01:15:42:21 01:15:45:00 她的丈夫？
01:15:45:09 01:15:48:03 他有沒有洗我的雙腳？
01:15:48:22 01:15:52:24 你們兩個？兩個都洗了
01:15:54:03 01:15:56:14 好吧
01:15:57:19 01:15:59:16 那麽，你想多洗一次嗎？
01:16:00:01 01:16:03:12 好吧，現在來
01:16:06:06 01:16:09:12 積，沒事嗎？
01:16:11:18 01:16:14:13 好一點
01:16:15:24 01:16:18:00 好吧
01:16:18:12 01:16:20:13 讓他來弄水
01:16:32:17 01:16:34:14 把雙手合上
01:16:34:22 01:16:37:09 叫他來弄水，這樣好一點
01:16:37:20 01:16:40:18 在水裡。叫他把腳浸在水裡
01:16:46:04 01:16:50:08 把它放在我上，清洗我的腳
01:16:50:21 01:16:52:23 好，好，好
01:16:53:05 01:16:55:03 接著觸摸我的腳
01:16:55:11 01:16:58:06 現在把他的手放在我上
01:17:18:00 01:17:20:23 好，喂，好吧
01:17:26:19 01:17:29:01 願神祝福你們
01:17:29:11 01:17:31:22 他現在妥當了
01:17:32:17 01:17:35:18 你洗了，你們兩個都洗了
01:19:17:24 01:19:20:16 放多一點水
01:19:23:10 01:19:26:08 把這些全倒下
01:19:29:10 01:19:32:00 要更多
01:19:36:12 01:19:38:15 這樣比較好
01:21:39:15 01:21:42:19 108個名號
01:21:49:05 01:21:52:14 你說你有108個名號
01:22:03:02 01:22:06:00 108個名號
01:22:30:03 01:22:32:13 你向我顯示千個名號
01:22:33:03 01:22:35:18 …這是
01:22:36:04 01:22:39:07 108
01:23:17:15 01:23:20:20 這是摩訶迦利的
01:23:23:11 01:23:26:16 108個名號？
01:23:30:23 01:23:33:14 噢，唸誦100個名號
01:23:37:21 01:23:39:01 是從Shri Mata開始唸？
01:23:39:09 01:23:42:01 拿走這個，好嗎
01:23:50:03 01:23:51:08 Sahasranama.
01:23:51:17 01:23:54:09 對，我們有Shri Lalita
01:24:04:12 01:24:05:22 這是讚頌
01:24:06:05 01:24:08:09 在女神殺掉兩個
01:24:08:18 01:24:10:08 叫作Shumba, Nishumba的惡魔後
01:24:10:18 01:24:13:02 他們都回歸原來的位置
01:24:13:11 01:24:17:03 所以現在對神的讚頌
01:24:17:14 01:24:19:10 你也要做同樣的讚頌
01:24:19:22 01:24:21:17 現在，我們會開始，你也知道
01:24:22:03 01:24:24:11 他會唸到某一限度
01:24:24:22 01:24:27:18 接著他們告訴你
01:24:28:05 01:24:30:13 你要說︰“Ya Devi sarva bhuteshu”
01:24:30:24 01:24:33:09 他會告訴你︰ “Buddhi”所以你要放它
01:24:33:18 01:24:36:04 “Ya Devi sarva bhuteshu Buddhi rupena samsthita.”
01:24:36:13 01:24:38:09 你知道 – “Namas Tasyai namas Tasyai
01:24:38:18 01:24:39:19 namas Tasyai namoh namah.”
01:26:40:16 01:26:43:02 他會先說它的開始
01:26:43:11 01:26:46:07 這就是神怎樣…怎樣讚頌女神
01:26:46:17 01:26:49:21 當她殺掉 Shumba, Nishumba，所以…
01:26:54:03 01:26:57:08 你要先用…你們稱為
01:26:57:15 01:26:59:09 酥油
01:26:59:22 01:27:01:24 這裡沒有匙
01:27:02:10 01:27:05:21 酥油，最少要有匙
01:28:09:13 01:28:12:07 也要有月亮
01:28:12:16 01:28:14:08 她喜歡月亮
01:28:14:17 01:28:16:23 臉像月亮…
01:28:21:13 01:28:23:22 只是水
01:28:38:23 01:28:41:18 “Sarva”是精粹
01:28:42:06 01:28:45:00 是她統領萬物
01:28:57:14 01:29:04:06 極之溫和，極之嚴厲
01:29:11:07 01:29:14:04 我們是聰明才智
01:29:16:15 01:29:18:24 她是每個人類的聰明才智
01:29:19:09 01:29:20:17 她表達為聰明才智
01:29:21:00 01:29:23:00 每個人的純粹才智
01:29:34:09 01:29:35:24 所以你只要說“Shraddha.”
01:29:36:08 01:29:37:23 你現在重複一次
01:29:38:07 01:29:40:22 現在你說︰“Shraddha”
01:31:59:12 01:32:02:16 應該是糖，接著是水
01:34:42:22 01:34:45:03 現在未婚女孩
01:34:49:16 01:34:52:05 未婚的
01:35:43:05 01:35:45:24 她通常在孟買常做
01:35:57:00 01:35:59:00 你也同樣這樣做
01:36:10:05 01:36:12:12 現在
01:36:35:20 01:36:36:23 你應說
01:36:40:15 01:36:43:13 “Sakshat Shri Mataji Shri Nirmala Devi namoh namah.
01:36:43:20 01:36:45:21 Shri Mata Sakshat Shri …”
01:36:46:05 01:36:48:23 你說甚麽？
01:36:51:19 01:36:54:12 只說︰“Om twamewa sakshat Shri Mata,”
01:36:54:20 01:36:56:06 就這樣 “namoh namah.”
01:36:56:13 01:36:58:24 對，就是這樣，就是這樣
01:37:04:01 01:37:06:08 (練習者︰Mahadevi 在"Shri Lalita Sahasranama裡
01:37:06:17 01:37:10:10 千個名號中的108個)
01:37:48:11 01:37:51:22 最先是“Shri Mata.”所以現在說
01:40:49:12 01:40:51:20 “Pataka nashini”
01:40:53:03 01:40:55:04 罪孽的殺戮者
01:40:55:13 01:40:57:05 這就是為何我說，不要內疚
01:40:57:16 01:41:00:09 她是所有罪孽的殺戮者
01:41:01:18 01:41:04:15 Maha-pat: 最偉大的…
01:41:05:17 01:41:08:10 Maha-pataka nashini.
01:44:32:13 01:44:36:07 “Nistula” – 意思「無可比擬」
01:46:22:11 01:46:24:16 你應先觸摸這裡
01:46:32:20 01:46:35:13 最先
01:46:56:21 01:46:59:10 去洗手
01:47:05:22 01:47:09:21 未婚女士，未婚的
01:49:52:10 01:49:53:10 以Para-shakti
01:49:53:18 01:49:57:14 看著所有事情工作發生
01:50:01:12 01:50:04:11 “Yogada.”
01:50:05:04 01:50:08:17 我給了你們瑜伽，即聯合
01:50:42:20 01:50:45:20 “Labdhaa. Punya-labhya” – 透過功德(punyas)
01:50:46:03 01:50:49:20 你要明白，若你沒有功德，你不能找到甚麽
01:50:50:22 01:50:53:03 所以若很多人迷失，你不用擔憂
01:50:53:10 01:50:55:09 他們沒有功德，你能怎辦？
01:50:55:19 01:50:58:02 “Punya-labdhaa.”
01:52:11:15 01:52:14:24 “Shobhana-sulabha-gati” – “Shobhana” 意思是「慈愛體恤」
01:52:15:09 01:52:18:02 “sulabha” 意思是「容易」而藉著它
01:52:18:12 01:52:21:02 “gati” … 「移動」
01:52:21:18 01:52:25:10 你得到，你透過
01:52:25:18 01:52:26:24 “Shobhana-sulabha-gati.”得到自覺
01:52:27:09 01:52:30:03 沒有不光彩的行為
01:52:30:15 01:52:33:01 或它漂亮的完成
01:52:33:14 01:52:36:13 也“sulabha”即容易
01:53:41:01 01:53:44:14 “Shubha-kari” – 祥瑞的賜予者
01:55:19:12 01:55:24:16 不是紅的，不是，不是紅的，現在，兩個
01:56:25:08 01:56:27:14 未婚的
01:56:37:13 01:56:39:15 一個，一個人
01:56:39:24 01:56:42:13 好吧，你們全部人
01:56:48:12 01:56:51:08 你們全部人要把它拿在手中
01:56:53:01 01:56:55:08 現在，拿它在手中，你們全部人
01:56:55:11 01:56:57:04 現在從頂
01:56:57:12 01:57:01:06 對，拿著它，右手
01:57:01:16 01:57:05:00 用右手拿著，這裡，一個人拿
01:57:07:10 01:57:11:02 現在，把它放下
01:57:14:14 01:57:17:10 謝謝
01:57:41:18 01:57:44:19 “Pasha-hantri, Pasha-hantri” –
01:57:47:21 01:57:49:18 你看，他們是受奴役.
01:57:50:03 01:57:54:18 她停止一切奴役
01:57:58:11 01:58:01:20 願神祝福你們
02:00:32:24 02:00:36:00 “Vandaru-jana-vatsala”
02:00:36:21 02:00:39:02 那些向她順服的人
02:00:39:11 02:00:45:19 她是…她對他們像母親般仁慈
02:00:46:19 02:00:48:11 她照顧他們
02:00:48:19 02:00:51:19 那些向她順服的人，她照顧他們
02:01:39:02 02:01:42:04 願神祝福你們
