00:01:29:11 00:01:32:04 今天非常高兴的看到
00:52:51:19 00:52:54:13 我是说我想不到有比印度政治
00:52:54:22 00:52:57:08 更差劲的政治，最差劲的
00:52:57:15 00:52:59:10 如果你听到这些事情
00:52:59:17 00:53:01:05 真是啼笑皆非
00:53:01:13 00:53:04:22 这样的笨蛋。所有蠢驴都参政
00:53:05:04 00:53:07:10 绝对是蠢驴；比差劲更差劲
00:53:07:17 00:53:09:21 他们叫喊像驴子，行为像驴子
00:53:10:04 00:53:11:05 还互相攻击
00:53:11:15 00:53:14:22 使用各种技俩，你能想象吗
00:53:15:07 00:53:16:06 真的很可怕
00:53:16:16 00:53:17:23 我是说如果你想听笑话
00:53:18:06 00:53:21:07 你可以以笑话的角度去看
00:53:21:17 00:53:24:09 蠢驴的行为
00:53:24:17 00:53:28:18 犹如他们在主管打理我们这个伟大的国家
00:53:29:03 00:53:30:19 他们大部份都是蠢驴
00:53:31:02 00:53:33:24 我没有碰过多少个是明智合理的
00:53:34:05 00:53:36:21 那些明智合理的人都想成为蠢驴
00:53:37:03 00:53:40:23 该怎么办？他们最大的愿望就是要这样
00:53:41:08 00:53:45:08 试想像圣人竟然想成为蠢驴
00:53:45:18 00:53:49:06 要明白优点就是优点
00:53:49:13 00:53:51:06 我们不应丧失我们的优点
00:53:51:16 00:53:53:20 但任何缺点都要去纠正
00:53:54:05 00:53:57:17 这是对自己中庸平衡的看法
00:53:58:02 00:53:59:06 因为得益的是我们
00:53:59:17 00:54:02:00 没有人会得益；霎哈嘉瑜伽士对此
00:54:02:08 00:54:04:17 要自私点。因为获益的是我们
00:54:05:00 00:54:07:12 如果我们获益，整体都会获益
00:54:07:21 00:54:09:05 霎哈嘉瑜伽整体都获益
00:54:09:13 00:54:12:09 这就是我要告诉你有关你的
00:54:12:16 00:54:15:08 社交生活，你的自我
00:54:15:17 00:54:17:16 这些都很重要
00:54:17:24 00:54:23:04 最重要的是当你在顶轮，你便成为我的脑袋
00:54:24:06 00:54:26:08 你真的成为我的脑袋
00:54:26:18 00:54:28:18 因此你们要非常小心
00:54:29:03 00:54:33:16 不是想着你的家庭
00:54:34:00 00:54:36:02 你的子女，你的家居
00:54:36:10 00:54:38:19 不是想着墨尔本也不是悉尼
00:54:39:00 00:54:41:11 的灵舍或澳洲
00:54:41:19 00:54:44:10 而是想着全世界
00:54:44:20 00:54:48:13 全宇宙，和它的福祉
00:54:48:23 00:54:50:07 当你成长到这个状态
00:54:50:15 00:54:53:05 你便真的成为我脑袋的一部分
00:54:53:14 00:54:58:17 我的脑袋关注着更大的远景，更高层次的事情
00:54:59:02 00:55:01:04 它也在较低层次运作
00:55:01:13 00:55:02:21 这是它的好处
00:55:03:04 00:55:05:21 它可在你们个人的层次运作
00:55:06:04 00:55:07:22 我放注意力在你们的个人问题
00:55:08:05 00:55:11:06 个人的建议，放注意力在任何你们说的话
00:55:11:14 00:55:15:05 但光却是为着全宇宙
00:55:15:13 00:55:20:14 因此我们进入普世宗教的领域
00:55:20:23 00:55:23:08 我们要唤醒它，成就它
00:55:23:17 00:55:25:18 除非你们到达这层次
00:55:26:04 00:55:28:20 你仍不能称为全面成熟的霎哈嘉瑜伽士
00:55:29:05 00:55:31:12 要达致这层次，你们必须很努力
00:55:31:20 00:55:33:19 又或我们可以现在称呼你为霎哈嘉瑜伽士
00:55:34:01 00:55:35:20 你会成为伟大的瑜伽士
00:55:36:04 00:55:39:12 因此，我们要达致伟大瑜伽的状态
00:55:39:21 00:55:42:22 从这到那是很简单的，它自然成就
00:55:43:06 00:55:47:02 试想想，四年前我从没想过
00:55:47:11 00:55:50:22 会有这么多人能
00:55:51:05 00:55:53:24 成为我的子女，但今天却实现了
00:55:54:08 00:55:57:09 四年间能有这么漂亮
00:55:57:18 00:56:00:11 动人的成绩，是很了不起的
00:56:00:19 00:56:03:06 明年的成就会更大
00:56:03:14 00:56:05:15 我从这里的人身上可以看到
00:56:06:00 00:56:10:24 我们要明白，在霎哈嘉瑜伽
00:56:11:12 00:56:12:22 服从母亲的话是对的
00:56:13:06 00:56:15:21 但有些人有宰制人的坏习惯：
00:56:16:05 00:56:18:19 「看在母亲的份上这样做吧，是为了母亲。」这个人是谁？
00:56:19:03 00:56:21:14 为什么有人会说为了母亲的原故而做一些事情？
00:56:21:22 00:56:23:15 或这是母亲说的
00:56:23:24 00:56:27:08 不，当你成为灵，便会明白母亲讲的话
00:56:27:17 00:56:29:10 所以你要了解你的灵
00:56:29:19 00:56:31:13 这是成就它的最佳方法
00:56:31:23 00:56:32:23 而你会很好
00:56:33:08 00:56:36:12 我想我所有的孩子从这个高度成长
00:56:36:20 00:56:39:14 让他们能在较好的基础和层次开始
00:56:39:22 00:56:43:10 因为我们以前从较低层次开始
00:56:43:17 00:56:45:21 我们出问题；让我们的孩子从
00:56:46:02 00:56:48:19 较高层次开始，我选择了墨尔本
00:56:49:01 00:56:50:09 来让孩子成长
00:56:50:18 00:56:52:21 我希望妇女们要做好她们的角色
00:56:53:04 00:56:54:08 男士们也要做好他们的角色
00:56:54:17 00:56:57:09 这里会建立很好的家庭制度
00:56:57:18 00:57:02:16 很好的社会
00:57:04:18 00:57:08:03 这是什么？关上它吧
00:57:10:22 00:57:14:03 我知道
00:57:21:11 00:57:24:19 我对光十分清楚
00:57:26:06 00:57:28:23 我知道它们怎样行动
00:57:29:06 00:57:31:16 毗湿奴摩耶(Vishnumaya)，这是毗湿奴摩耶
00:57:31:23 00:57:33:02 我们利用了毗湿奴摩耶
00:57:33:10 00:57:37:19 我们就是从他那处取得光，毗湿奴摩耶藏在哪里？
00:57:38:03 00:57:41:04 你要明白，今天我们就是需要毗湿奴摩耶
00:57:41:13 00:57:43:15 我们要以精微的方式去了解
00:57:43:24 00:57:45:15 毗湿奴摩耶是怎样来
00:57:46:00 00:57:48:12 看看这是多么自然而然，因这东西来了
00:57:48:19 00:57:49:20 所以我能谈毗湿奴摩耶
00:57:50:04 00:57:54:16 要把话题转到毗湿奴摩耶不是件易事
00:57:56:01 00:57:59:15 你们一定要看这场戏剧，你们一定要看这场戏剧
00:57:59:21 00:58:02:09 这位毗湿奴摩耶，他是怎样来的？
00:58:02:18 00:58:05:07 他怎能那么漂亮的透过我作事？
00:58:05:18 00:58:07:12 怎样，发生了什么，他从哪里来？
00:58:07:21 00:58:11:15 水力发电，水力发电是什么
00:58:11:23 00:58:13:07 在水中，是导师原理在水中
00:58:13:16 00:58:16:24 但当它下来
00:58:17:21 00:58:20:14 当导师原理来到你身上
00:58:21:05 00:58:26:02 在这层次，毗湿奴摩耶起作用
00:58:26:12 00:58:29:24 他解放，他起作用
00:58:30:08 00:58:32:16 为了什么？为了开悟人
00:58:34:14 00:58:37:15 在粗糙层面发生的在精微层面发生
00:58:42:13 00:58:45:07 因此需要有降世神祇
00:58:46:04 00:58:48:13 导师原理要藉降世神祇
00:58:48:22 00:58:50:13 才能降临地球
00:58:50:21 00:58:54:01 所以毗湿奴摩耶起作用，令人开悟
00:58:58:12 00:59:01:20 就是这样，整件事就是这样成就
00:59:02:02 00:59:04:02 你们看到我怎样突然转换了话题
00:59:04:09 00:59:08:01 你感觉不到
00:59:08:09 00:59:11:17 我只想让你们知道，母亲是怎样转换话题
00:59:12:01 00:59:15:09 因为我知道有些事情
00:59:15:20 00:59:18:13 在某处发生了，所以我转换了话题
00:59:18:21 00:59:23:05 这话题看似很顺畅地继续
00:59:24:23 00:59:27:01 我要告诉你们另一件事是你们
00:59:27:11 00:59:29:21 一定要透彻了解霎哈嘉瑜伽
00:59:30:03 00:59:32:02 很少人真正懂得灵量
00:59:32:10 00:59:33:18 真正懂得生命能量
00:59:34:01 00:59:35:08 他们不知道幻海在哪里
00:59:35:15 00:59:36:15 要开设定期课堂
00:59:36:24 00:59:38:20 即使稳定的霎哈嘉瑜伽士也要参加
00:59:39:03 00:59:41:04 幻海在双脚哪个位置
00:59:41:14 00:59:42:20 轮穴在双脚哪个位置？
00:59:43:02 00:59:46:18 当我叫他们按摩我的双脚，他们不知道它(轮穴)的位置
00:59:47:14 00:59:50:12 你们可能没有受过教育，不要紧
00:59:50:19 00:59:53:00 但你们要受霎哈嘉瑜伽的教育
00:59:53:09 00:59:55:05 受霎哈嘉瑜伽全面的教育
00:59:55:12 01:00:00:13 你要知道这些疾病从哪里来
01:00:00:21 01:00:04:05 怎样医治它。你们每一位都要在这儿受教育
01:00:04:14 01:00:06:07 在上静坐班之余
01:00:06:16 01:00:10:00 你们也要上课学习
01:00:10:09 01:00:11:24 霎哈嘉瑜伽的知识
01:00:12:09 01:00:14:10 有什么东西该做
01:00:14:19 01:00:16:24 有一本书，他们写了一本关于
01:00:17:07 01:00:19:08 儿童的好书，可是却欠缺自发性
01:00:19:16 01:00:20:19 所以我要下点功夫
01:00:21:03 01:00:25:11 不单只是书籍，还有很多我的录音带
01:00:25:21 01:00:27:09 当你们聆听我的录音
01:00:27:17 01:00:30:08 要把母亲所说的话记下来
01:00:30:16 01:00:31:15 帮助你去了解
01:00:31:23 01:00:34:10 教育在霎哈嘉瑜伽很重要
01:00:34:18 01:00:37:06 否则你的聪明才智会生锈
01:00:37:15 01:00:39:20 你要受霎哈嘉瑜伽全面的教育
01:00:40:03 01:00:41:24 不单要给人自觉
01:00:42:08 01:00:45:14 你们也要拥有知识，让他人知道你们拥有丰富的知识
01:00:46:03 01:00:49:07 从来没有人受过你们这个程度的教育
01:00:49:14 01:00:51:11 连圣人也没有
01:00:51:20 01:00:53:13 所以你们要好好利用这优势
01:00:53:22 01:00:56:20 不论你的年龄，教育程度
01:00:57:03 01:00:59:09 全都没有关系，你们要知道
01:00:59:16 01:01:02:02 霎哈嘉瑜伽是什么，它代表什么，它怎样起作用
01:01:02:11 01:01:06:04 向自己提问并找出答案
01:01:06:13 01:01:09:08 你们要知道，你们仍然是霎哈嘉瑜伽的学生
01:01:09:14 01:01:13:11 仍是霎哈嘉瑜伽的学生。你们要掌握它
01:01:13:20 01:01:15:16 要了解它的每字每句
01:01:15:23 01:01:17:19 单单享受霎哈嘉瑜伽是不够的
01:01:18:03 01:01:19:04 你也要明白它
01:01:19:12 01:01:22:17 就像你享受别人做的蛋糕
01:01:23:00 01:01:24:09 你也要知道它是怎样做的
01:01:24:17 01:01:27:04 那么你便能做给其他人吃
01:01:27:15 01:01:29:01 但如果你不懂怎样做
01:01:29:08 01:01:31:24 便没有人会相信你。我曾经见过这种情况
01:01:32:07 01:01:34:02 我见过有些霎哈嘉瑜伽士
01:01:34:13 01:01:36:06 不停的工作
01:01:36:15 01:01:39:12 他们很活跃，只因他们一向都如此
01:01:39:20 01:01:40:23 但有些人却怠倦疏懒
01:01:41:05 01:01:43:14 你可以在两个印度人身上
01:01:43:23 01:01:45:03 见到同样的差异
01:01:45:13 01:01:48:13 虽然一个在这里一个在那里，不需要这样
01:01:48:21 01:01:52:12 每个人都要有同样的
01:01:52:19 01:01:55:19 热诚干劲，不只是一个人
01:01:56:02 01:01:58:11 若只有一个人是这样便作用不大
01:01:58:18 01:02:00:22 有时这个人会很支配他人
01:02:01:07 01:02:04:05 每个人都要工作，整个身体都要工作
01:02:04:13 01:02:05:16 如果我们能这样发展
01:02:05:24 01:02:11:20 会对整体发展提升大有帮助
01:02:12:18 01:02:15:00 对吗？
01:02:15:10 01:02:18:21 所以今天在我寿辰的日子
01:02:19:15 01:02:21:22 我想大大的祝福你们
01:02:22:07 01:02:25:11 你们要知道，我在世的时间在我的每个生日后都在减少
01:02:25:20 01:02:29:12 因此你们要成长去接班，这是很重要的
01:02:29:22 01:02:31:21 你们要成长是很重要的
01:02:32:05 01:02:33:09 我的所谓年龄
01:02:33:18 01:02:35:21 虽然看不出，但是在减少
01:02:36:04 01:02:38:22 你们要知道
01:02:39:06 01:02:42:05 因此要加快行动，争取成就它
01:02:42:14 01:02:45:03 当人们来，跟他们好好地谈，给他们喜乐
01:02:45:11 01:02:46:24 切勿给他们任何…给他们喜乐
01:02:47:07 01:02:48:13 照顾他们，对他们友善
01:02:48:21 01:02:50:07 这样做比时时告诉他：
01:02:50:14 01:02:52:17 「你是亡灵，你离开。」较能吸引他们
01:02:53:00 01:02:55:00 当他们已在霎哈嘉瑜伽，当他们在这里
01:02:55:07 01:02:56:05 我自会告诉他们
01:02:56:09 01:02:58:17 他们仍有问题，我知道有些人仍有问题
01:02:59:02 01:03:00:05 我们要告诉他们：
01:03:00:12 01:03:02:04 你有问题，你最好离开
01:03:02:13 01:03:04:11 这是可以的。他们需要离开灵舍
01:03:04:18 01:03:06:10 一段时间，然后再回来
01:03:06:19 01:03:09:07 就是要这样，否则他们的问题得不到纠正
01:03:09:15 01:03:11:15 这些人也要欣然接受
01:03:11:23 01:03:13:13 他们会好的，他们要改变
01:03:13:22 01:03:16:07 这样比因为自我而让
01:03:16:15 01:03:18:21 他们继续下去好得多
01:03:19:05 01:03:22:00 所以尽量与自己合作
01:03:22:07 01:03:24:11 因为它想变得更好，越来越好
01:03:24:22 01:03:27:00 我会要求那些人
01:03:27:08 01:03:30:00 我会告诉华伦，那些我认为
01:03:30:09 01:03:32:01 不妥当的人要离开灵舍
01:03:32:08 01:03:35:20 灵舍并非任何人都可以留下来
01:03:36:02 01:03:38:24 只有纯洁到某程度的人才能留下
01:03:39:06 01:03:41:11 要符合起码的标准
01:03:41:19 01:03:43:13 如果他们不符合标准，便要离开
01:03:43:21 01:03:46:00 即使爱支配人的女士
01:03:46:07 01:03:49:07 或像女人的男人，也要离开
01:03:49:17 01:03:50:24 你们要做正常人
01:03:51:08 01:03:53:07 否则其他人来到
01:03:53:15 01:03:58:17 看到有人像一块这里切下来的鸡一样，该怎么办
01:03:59:13 01:04:02:10 他们不会留下好印象
01:04:13:18 01:04:18:22 我告诉你，就如我展示给你看的那位痛苦悲惨的基督
01:04:19:04 01:04:20:13 无力地站在那儿
01:04:20:20 01:04:23:17 我不知道有谁会被他感动
01:04:24:04 01:04:26:15 要像在
01:04:26:22 01:04:29:24 西斯丁教堂(Sistine Chapel)的基督
01:04:30:09 01:04:32:15 站在那里像…(听不清楚)，男人本该如此
01:04:32:24 01:04:38:00 要有尊严、尊贵、仁慈、
01:04:38:23 01:04:42:00 有威严
01:04:42:07 01:04:44:22 女士则要既甜美又和善亲切
01:04:45:04 01:04:51:06 这样的回报是又长又大
01:04:51:14 01:04:53:17 很长，很长的
01:04:54:01 01:04:56:07 你不会知道我获得多少回报
01:04:56:15 01:04:58:19 今天却很轻易的得到
01:04:59:05 01:05:01:17 你要明白，我不做霎哈嘉瑜伽的工作时
01:05:02:02 01:05:03:19 我天性是对人很友善
01:05:04:01 01:05:06:18 我的本性都发挥出来
01:05:07:12 01:05:11:05 举一个例：在伦敦，有一个人来
01:05:11:14 01:05:16:02 他的名字 ...那个专员叫什么名字？
01:05:16:15 01:05:19:24 浦那的专员，他现在是浦那专员
01:05:20:09 01:05:21:03 对吧
01:05:21:11 01:05:25:18 他来见我们，我们在我丈夫的办公室之类的地方会面
01:05:26:01 01:05:28:05 我丈夫CP说：「我会叫他们来吃晚餐。」
01:05:28:12 01:05:30:06 我说：「好吧。」我在家煮晚餐
01:05:30:15 01:05:32:23 有大约二十五人来吃
01:05:33:04 01:05:35:07 他们用餐，不管如何我也
01:05:35:14 01:05:36:20 要照顾他们
01:05:37:02 01:05:39:03 当我来浦那
01:05:39:11 01:05:41:01 Mehrotra告诉我这个专员非常焦急
01:05:41:09 01:05:43:15 他要以会长或主席又或
01:05:43:22 01:05:46:17 接待委员会的身份来迎接我
01:05:47:01 01:05:49:03 我说︰我记不起这个男士是谁
01:05:49:12 01:05:50:21 我只记得这个名字
01:05:51:05 01:05:52:21 他说：「不、不、不、不、是另一位。」
01:05:53:05 01:05:56:05 他们其中一位来了
01:05:57:00 01:06:00:22 他很赞扬我。我很惊讶他见到那些事情
01:06:01:05 01:06:04:00 他说：「这位女士的丈夫地位崇高
01:06:04:07 01:06:07:20 却仍很谦卑。她十分仁慈，像母亲一般
01:06:08:01 01:06:10:03 他回家告诉妻子
01:06:10:09 01:06:11:18 我从未见过这样的女性，
01:06:12:01 01:06:13:22 多么完美的女性
01:06:14:06 01:06:15:13 我不知道自己做过些什么
01:06:15:22 01:06:19:06 我必定是煮得很好，一定是
01:06:24:13 01:06:26:16 我也必定照顾得他很好
01:06:26:23 01:06:29:10 我必定对他和所有人都很亲切
01:06:29:17 01:06:33:03 我一定是忙着打点而什么也没吃
01:06:33:10 01:06:34:20 我一定是做了一些事情
01:06:35:02 01:06:35:22 连我也忘记自己做过什么
01:06:36:04 01:06:38:02 我只是依照自己的本质来行事
01:06:38:10 01:06:40:16 不单是今天，我见过很多这类情况
01:06:40:24 01:06:43:10 只因为我是这样
01:06:43:18 01:06:46:04 只因为这是我的本质
01:06:46:13 01:06:51:01 你知道我们驻英高级专员
01:06:51:10 01:06:54:03 第一任及第二任的专员
01:06:54:11 01:06:55:17 第二位专员叫B.K.Neru
01:06:56:00 01:06:59:00 他们对我都极之尊敬，
01:06:59:09 01:07:02:02 实在难以想象
01:07:02:19 01:07:06:13 因为你要亲切、为人设想和亲切友善
01:07:06:19 01:07:10:02 你在这里照顾我，我照顾他们
01:07:10:15 01:07:13:09 因此他们印象这么深
01:07:13:17 01:07:15:23 我告诉你，我丈夫的朋友和每一个人
01:07:16:06 01:07:18:12 对我都非常尊重敬爱
01:07:18:20 01:07:21:03 我们跟印度法律部的首长和
01:07:21:11 01:07:25:06 情报科的领导见面
01:07:25:14 01:07:28:11 他以皇室的待遇招呼我们
01:07:28:20 01:07:30:19 海关首长获悉
01:07:31:02 01:07:34:07 母亲的孩子会来
01:07:34:15 01:07:37:24 他亲自到机场，你知道吗？
01:07:38:04 01:07:40:06 他就是坐在这里，我不知
01:07:40:15 01:07:42:17 他有没有出来见你们
01:07:43:03 01:07:45:07 那只是我跟他们的私人交情
01:07:45:15 01:07:47:11 不然有谁会关心谁是谁的妻子？
01:07:47:20 01:07:49:04 很多人跟随我丈夫
01:07:49:12 01:07:51:08 却没有人关心他们的太太
01:07:51:17 01:07:54:12 这次我跟丈夫
01:07:54:22 01:07:56:15 到中国
01:07:56:24 01:08:01:19 他在日本和其他地方如檀香山的助手
01:08:02:05 01:08:05:00 都专程来见我。
01:08:05:09 01:08:06:24 他来则没有人来见他
01:08:07:06 01:08:11:01 他说：「你来了，他们都来见你。」
01:08:13:08 01:08:14:06 你相信吗？
01:08:14:14 01:08:18:06 对他们来说我只是一位女士
01:08:18:13 01:08:19:22 这是很有力量的事情
01:08:20:05 01:08:23:08 是很有力量的事情，女性要懂烹饪
01:08:23:16 01:08:24:10 这是很重要的
01:08:24:17 01:08:26:01 如果不懂烹饪，她们便不是女性
01:08:26:08 01:08:27:10 我也不认为她们是女性
01:08:27:19 01:08:30:02 女士们全都要懂得烹饪
01:08:30:11 01:08:33:19 你们要学习烹饪，每个人都要学习
01:08:34:03 01:08:35:00 这是很重要的
01:08:35:08 01:08:38:14 女性的潜在力量就是她怎样煮食
01:08:39:00 01:08:40:16 你要明白，我们的男人不会去其他地方
01:08:40:24 01:08:45:10 因为我们的烹饪功夫很到家，他们都回家吃饭
01:08:45:20 01:08:48:16 他们记挂着食物
01:08:50:17 01:08:53:00 这就是你们拥有的力量
01:08:53:10 01:08:55:09 今天是我的生日
01:08:55:17 01:08:57:07 所以我们只会有一个简短的崇拜
01:08:57:16 01:09:03:10 在生日举行的崇拜应该是
01:09:05:07 01:09:10:07 更深入，更真诚，更喜乐
01:09:10:18 01:09:15:22 不宜流于仪式化
01:09:16:06 01:09:17:14 不需要有太多仪式
01:09:17:21 01:09:18:24 因为我们都满怀喜乐地
01:09:19:08 01:09:20:17 庆祝母亲的寿辰
01:09:20:24 01:09:22:05 我们已经在这里
01:09:22:14 01:09:24:16 令你到达这里的条件已不再需要了
01:09:24:24 01:09:27:15 因为你们都满怀喜乐
01:09:27:19 01:09:28:15 对吗？
01:09:29:00 01:09:32:04 所以我告诉他，在今天我的生辰
01:09:32:12 01:09:33:24 做一个很短的崇拜
01:09:34:08 01:09:36:12 不需要有盛大的崇拜
01:09:36:20 01:09:40:12 只要邀请所有神祇
01:09:40:21 01:09:43:02 他们都已来临，在上面
01:09:43:11 01:09:45:18 看看他们散发的生命能量！
01:09:46:01 01:09:49:20 他们多么高兴你们为我庆祝生日
01:09:50:04 01:09:53:10 我们在每一个崇拜都要唤醒他们
01:09:53:20 01:09:56:08 请求他们对你们慈悲等等
01:09:56:16 01:09:58:19 虽然他们都在我之内被唤醒，你希望他们这样
01:09:59:02 01:10:00:15 现在他们都在你们内里被唤醒了
01:10:00:22 01:10:02:17 根本不需要盛大的崇拜
01:10:03:01 01:10:04:07 完全没有这个需要
01:10:04:14 01:10:07:12 我就是如此告诉穆地，你们做一个
01:10:07:19 01:10:11:04 很短，很短的崇拜，一个很短的崇拜已经可以了
01:10:11:12 01:10:13:18 今天的讲话就像崇拜一样
01:10:14:02 01:10:16:20 请记着当你不是霎哈嘉瑜伽士
01:10:17:04 01:10:18:09 它是对你说的
01:10:18:18 01:10:23:08 今天不是说你们，所以不要感到内疚
01:10:25:15 01:10:27:07 你们先要记着自己是霎哈嘉瑜伽士
01:10:27:13 01:10:29:16 是我的孩子，我很爱
01:10:29:24 01:10:31:03 很爱你们
01:10:31:11 01:10:33:06 所以请对自己有信心
01:10:33:14 01:10:35:22 对自己充满信心，好吗？
01:10:36:05 01:10:38:05 这是你们今天能给我的最大的礼物
01:10:38:13 01:10:41:24 愿神祝福你们！
01:10:42:16 01:10:46:12 锡吕玛塔吉说印地语
01:10:56:23 01:11:00:17 你们替我洗脚
01:11:01:02 01:11:02:13 五至十分钟
01:11:02:24 01:11:06:05 洗手约十分钟
01:11:06:13 01:11:07:22 就是这么简单
01:11:08:07 01:11:09:23 不需要太多人
01:11:10:07 01:11:12:14 把那东西放在这里


