00:02:22:23 00:02:27:06 今天我們敬拜的毗濕奴摩耶
00:56:37:06 00:56:39:19 他們全都說︰「在外，在外。」
00:56:42:17 00:56:44:16 讓他們成長
00:56:46:17 00:56:49:02 一隊新的軍隊正迎上前
00:56:52:13 00:56:54:21 我想你取得…可以做到
00:56:55:02 00:56:58:19 你把它給他，他會做的，他只是…他會做的
00:56:58:24 00:57:00:05 他會很小心的做
00:57:00:08 00:57:01:07 來吧，來吧
00:57:01:11 00:57:04:11 加文，向兩邊移一點
00:57:05:04 00:57:06:22 喂，來吧，這一邊
00:57:07:13 00:57:10:16 小傢伙先上前
00:57:10:21 00:57:12:11 所有小傢伙來這裏
00:57:12:15 00:57:14:08 一個…你們全都是小傢伙，對嗎？
00:57:14:13 00:57:16:22 誰是最小的？
00:57:18:21 00:57:22:01 還有沒有人上前？
00:57:24:10 00:57:27:07 坐下，坐下，坐下，坐下
00:57:27:10 00:57:29:10 好吧，你來這裏，你想來這裏？
00:57:29:15 00:57:32:02 好吧，給他機會，好嗎？
00:57:32:08 00:57:34:21 就這樣吧，把他帶來這裏
00:57:34:24 00:57:38:01 現在，所有女孩先來
00:57:38:05 00:57:39:10 男孩遲一點
00:57:39:15 00:57:40:18 我們這樣做
00:57:40:22 00:57:43:18 還是小男孩先？
00:57:44:01 00:57:47:04 男孩先好一點，是嗎。無論如何
00:57:47:08 00:57:48:08 你們是姊妹
00:57:48:10 00:57:50:16 現在讓小男孩先，好吧
00:57:50:21 00:57:53:23 所有小男孩，跟著是姊妹
00:57:54:01 00:57:55:15 誰是小男孩？
00:57:55:18 00:57:57:18 啊…他們全部
00:57:57:21 00:58:00:04 姊妹要等一會兒，好嗎？
00:58:00:17 00:58:03:02 看，看看
00:58:03:13 00:58:06:14 這是那麽容易被接受
00:58:07:03 00:58:10:00 所有姊妹，她是姊妹，現在來吧
00:58:10:03 00:58:12:05 所有姊妹要回去
00:58:12:09 00:58:13:09 她有沒有跟來？
00:58:13:12 00:58:14:15 好吧，你站在這裏
00:58:14:20 00:58:15:20 好吧，告訴她
00:58:16:00 00:58:17:12 你站在這裏，你走上前
00:58:17:20 00:58:19:23 好吧。現在所有男孩，來吧
00:58:20:03 00:58:20:21 你來這裏
00:58:21:00 00:58:23:23 所有男孩都要做，所有姊妹則要等
00:58:24:12 00:58:27:03 這是…沒有男孩在這裏，再沒有？
00:58:28:09 00:58:31:21 來吧，來吧，來吧，來吧，來吧,來吧
00:58:34:06 00:58:37:06 好吧,現在，每一個人…
00:58:47:17 00:58:53:04 若柏的兒子在這裏，叫他來，柏的兒子，好吧
00:58:53:17 00:58:54:17 他會做
00:58:54:20 00:58:57:14 每個人都要坐下，啊，好
00:58:57:18 00:59:01:02 現在所有姊妹，所有姊妹先坐下
00:59:01:07 00:59:03:04 你要明白，男孩先做
00:59:03:09 00:59:06:21 好嗎？所有姊妹站在這裏照顧男孩
00:59:13:07 00:59:14:02 來吧
00:59:14:04 00:59:15:09 男孩來這裏
00:59:15:13 00:59:19:06 來吧，來吧，來吧…
00:59:26:09 00:59:28:18 好吧，讓他坐下，他是男孩
00:59:28:21 00:59:30:18 來吧，坐下，你是男孩
00:59:30:24 00:59:32:23 啊！你是男孩？
00:59:33:04 00:59:35:04 男孩要坐下
00:59:35:12 00:59:37:04 當你坐下，他便會坐一會兒
00:59:37:07 00:59:39:15 他會坐下，他是個好男孩，不要害羞
00:59:39:20 00:59:41:18 沒人要害羞，對嗎？
00:59:41:20 00:59:43:21 啊！現在來吧，所有男孩
00:59:44:01 00:59:45:18 害羞的不是男孩
00:59:45:21 00:59:48:01 不，他是男孩，他很好，好吧
00:59:48:23 00:59:51:02 若你是男孩，就不應害羞
00:59:53:23 00:59:56:07 只有女孩會害羞
00:59:57:05 00:59:59:04 他害羞，好吧，不要強迫他
00:59:59:07 01:00:01:13 沒問題，不要強迫孩子
01:00:05:12 01:00:07:06 羅斯在這裏嗎？
01:00:09:24 01:00:10:23 他在不在？
01:00:12:16 01:00:13:12 來吧
01:00:13:16 01:00:14:21 現在你照顧這一邊
01:00:15:01 01:00:17:15 給他，那麽他便可以做
01:00:17:19 01:00:19:01 你要清洗我的雙腳
01:00:19:05 01:00:21:07 好吧，來吧，唸誦口訣…
01:00:21:15 01:00:23:19 只要說…在你的手裏
01:00:24:04 01:00:25:01 請讓他來做
01:00:25:06 01:00:27:04 你要清洗我的雙腳，好嗎？
01:00:27:09 01:00:28:14 現在你要小心
01:00:28:18 01:00:29:20 你明白我為甚麽要叫你來
01:00:30:00 01:00:30:21 因為他們都是小孩子
01:00:30:24 01:00:34:21 現在清洗我的雙腳
01:00:35:12 01:00:36:16 告訴他們該怎樣洗
01:00:37:02 01:00:38:18 現在，一個接一個，來吧
01:00:38:21 01:00:40:15 清洗我的雙腳
01:00:41:09 01:00:43:10 是，馬基迪也，你洗吧，好嗎
01:00:43:13 01:00:44:20 來吧，你們全部人，洗吧
01:00:45:03 01:00:46:15 用力的洗，好嗎
01:00:46:20 01:00:48:21 會有另一群，好嗎？
01:00:48:24 01:00:50:12 跟著會有第二群
01:00:50:18 01:00:53:06 這很好，你擦吧，現在就擦吧
01:00:53:09 01:00:54:12 擦它吧。這隻也要擦
01:00:54:15 01:00:56:12 來吧，清洗我的雙腳
01:00:56:18 01:00:59:03 丹尼，讓他們…清洗我的雙腳
01:00:59:09 01:01:01:18 來,洗吧，洗吧，洗吧，洗吧，洗吧
01:01:01:23 01:01:05:17 現在來吧，喂！來吧，清洗我的雙腳
01:01:06:21 01:01:08:03 清洗我的雙腳
01:01:10:12 01:01:18:09 好，好，現在…
01:01:38:14 01:01:40:07 現在其他男孩也要做
01:01:40:10 01:01:41:17 好嗎？你做了沒有？
01:01:41:20 01:01:43:17 好吧，現在其他男孩也來清洗我的雙腳
01:01:44:19 01:01:47:03 你已經洗了？哈努？洗了？
01:01:47:06 01:01:48:17 好吧
01:01:52:13 01:01:55:01 那個大男孩，你來吧
01:01:56:22 01:01:58:08 讓他們洗吧，好嗎？
01:01:58:13 01:02:00:13 那納克？現在讓他們洗吧，好嗎？
01:02:00:16 01:02:03:05 你現在站起來，可以站起來嗎？
01:02:03:10 01:02:05:22 馬基迪也？讓他們來，好嗎？
01:02:09:08 01:02:12:01 啊，這很好，你也…哈努？
01:02:12:08 01:02:14:20 讓他們來，好嗎？走上前
01:02:15:00 01:02:19:23 現在來吧，已經做了，是嗎？
01:02:20:03 01:02:22:03 現在讓女孩子來
01:02:31:01 01:02:32:22 現在女孩來
01:02:33:08 01:02:35:14 讓男孩離去，男孩要離去
01:02:39:06 01:02:40:11 你還沒有做？
01:02:42:20 01:02:44:00 好吧，請他做吧
01:02:46:09 01:02:47:22 你來吧，洗…好吧
01:02:51:24 01:02:55:12 現在你們全站起來，讓女孩做
01:02:55:16 01:02:58:04 好吧，你全都起來吧？男孩也要洗
01:02:58:10 01:02:59:19 我想他已經洗了
01:02:59:24 01:03:02:16 你洗了？不？好吧，來吧，來吧…
01:03:05:10 01:03:07:05 把水放在這裏
01:03:08:06 01:03:10:01 讓他來…
01:03:11:17 01:03:13:14 好吧，走上前，讓他來
01:03:13:18 01:03:15:14 好，起來吧，那納克，起來
01:03:17:15 01:03:19:06 丹也？
01:03:20:12 01:03:21:20 只一分鐘，只一分鐘
01:03:21:23 01:03:25:06 你們一些人…你們全部人一個接一個，好嗎？
01:03:25:10 01:03:28:12 現在，洗它，現在就洗吧
01:03:30:09 01:03:31:24 來這裏幫忙
01:04:05:19 01:04:08:20 完成了，現在，讓其他人也來，現在
01:04:09:13 01:04:13:00 起來吧，女孩現在來
01:04:14:08 01:04:15:12 男孩走吧
01:04:15:16 01:04:18:03 那納克，你起來，起來，好好的起來
01:04:19:08 01:04:20:09 讓女孩來
01:04:20:12 01:04:21:22 現在，來吧 
01:04:24:20 01:04:26:05 奧尼比亞在哪裏？
01:04:29:12 01:04:31:10 你留在這裏，你留在這裏，留在這裏
01:04:31:15 01:04:33:24 女孩要留下
01:04:43:06 01:04:44:18 男孩可以走了
01:04:47:19 01:04:50:22 他們現在要走了，因為這是女孩的崇拜
01:05:09:09 01:05:10:21 用雙手
01:05:24:14 01:05:26:07 好嗎？現在揩乾雙手…
01:05:26:15 01:05:28:18 好吧，把它放在你的頭
01:05:35:06 01:05:37:12 所有女孩要坐在這裏
01:05:37:20 01:05:43:04 奧尼比亞，她在哪裏？她正要來
01:05:43:12 01:05:46:04 坐下，坐下，坐下，坐下
01:05:48:13 01:05:49:19 好吧
01:05:51:02 01:05:52:19 奧尼比亞，來吧
01:05:58:06 01:06:00:00 所有女孩…你洗，洗了沒有？
01:06:00:12 01:06:02:01 你已經洗了，好吧
01:06:04:01 01:06:05:06 把這個拿走，請拿走這個
01:06:55:02 01:06:56:04 現在唸誦名號
01:06:56:08 01:06:59:22 直接唸誦一百零八個名號
01:07:00:07 01:07:03:04 這其實是哥維(Gauri)的名號
01:07:04:15 01:07:06:21 大力點
01:07:12:15 01:07:14:04 大力點擦，好吧
01:07:24:03 01:07:25:20 不，不，你必須唸誦我的名號，加文
01:07:25:23 01:07:28:03 不然，能量不能流通
01:07:28:11 01:07:30:11 你要唸誦全部，我可以怎樣
01:07:30:15 01:07:32:15 因為是有限制的
01:09:59:03 01:10:00:16 你想做？
01:10:01:02 01:10:04:10 你可以來，要小心，好嗎？
01:10:04:13 01:10:06:06 因為全都被拍下
01:11:11:12 01:11:13:01 只一會兒，只一會兒
01:11:13:10 01:11:15:12 我會要求所有人幫忙
01:11:16:07 01:11:17:07 現在不要爭吵
01:11:17:12 01:11:18:15 每個人都會做
01:11:18:20 01:11:21:03 女孩子先走開，把它放在這裏
01:14:02:11 01:14:06:12 很感謝你們…好吧
01:14:08:02 01:14:10:05 像這樣擦你的手
01:14:13:09 01:14:15:09 手都變紅了
01:14:16:03 01:14:17:01 完了
01:14:17:05 01:14:21:17 像這樣擦，所有手指
01:15:45:22 01:15:47:08 用心的做
01:15:47:12 01:15:50:08 因為現在全是來自思維
01:15:50:14 01:15:52:08 要用心來做
01:15:52:19 01:15:55:20 你，你說甚麽都是向我說的
01:15:56:00 01:15:58:22 我坐在你面前，你們都很幸運
01:15:59:11 01:16:02:22 要用心的做，那麽它才會…敞開你的心屝
01:16:03:02 01:16:04:11 要用心的去做
01:16:04:19 01:16:06:08 來吧
01:16:07:22 01:16:10:23 不要內疚，這很重要
01:55:07:09 01:55:10:08 毗濕奴摩耶的紗麗是很美麗的
01:55:12:13 01:55:17:16 顯示雲朵的兩個尖端和燈光之間
01:55:20:16 01:55:23:02 這是法國的
01:55:33:13 01:55:35:03 有很深遠的意義
01:55:36:11 01:55:40:05 為毗濕奴摩耶而設的法國紗麗
02:03:12:07 02:03:14:12 只說毗濕奴摩耶，只是這樣
02:03:14:17 02:03:16:07 今天不是濕婆神崇拜
02:03:16:12 02:03:18:23 不是祂的崇拜，你又怎能唸誦祂的名號？
02:03:19:01 02:03:23:18 只說毗濕奴摩耶︰”Twameva Sakshat Shri Vishnumaya”
02:04:41:06 02:04:43:01 願神祝福你們
02:04:46:06 02:04:48:01 唸誦濕婆神的名號
02:04:48:08 02:04:52:18 我們雙腳凍僵了，對嗎
02:04:55:01 02:04:58:04 好吧，請鞠躬
02:05:51:22 02:05:53:11 願神祝福你們
02:05:53:20 02:05:55:09 願神祝福你們
02:05:55:20 02:05:57:09 願神祝福你們
