00:01:29:11 00:01:32:04 今天非常高興的看到
00:52:07:12 00:52:10:22 我們要明白這一點，男女都要明白
00:52:11:05 00:52:12:07 男人也一樣
00:52:12:17 00:52:15:06 男人也不想成為父親
00:52:15:15 00:52:16:21 如果你是個成熟的父親
00:52:17:05 00:52:19:21 你不會有結婚的念頭，忘記它吧
00:52:20:11 00:52:23:17 如果與一個女士相處不了，忘記它吧
00:52:24:02 00:52:28:18 不要緊，沒有這個需要，你已經受夠了
00:52:31:07 00:52:35:02 完全沒有需要有這樣的事情
00:52:35:11 00:52:36:21 它在非霎哈嘉瑜伽士
00:52:37:04 00:52:38:14 的社會起作用
00:52:38:22 00:52:40:11 所以它也應該對你起作用
00:52:40:19 00:52:43:19 印度人在社交方面很不錯
00:52:44:02 00:52:46:08 但經濟和政治上就不濟
00:52:46:16 00:52:49:14 不要學他們的政治，糟透了
00:52:50:02 00:52:51:11 糟透了
00:52:51:19 00:52:54:13 我是說我想不到有比印度政治
00:52:54:22 00:52:57:08 更差勁的政治，最差勁的
00:52:57:15 00:52:59:10 如果你聽到這些事情
00:52:59:17 00:53:01:05 真是啼笑皆非
00:53:01:13 00:53:04:22 這樣的笨蛋。所有蠢驢都參政
00:53:05:04 00:53:07:10 絕對是蠢驢；比差勁更差勁
00:53:07:17 00:53:09:21 他們叫喊像驢子，行為像驢子
00:53:10:04 00:53:11:05 還互相攻擊
00:53:11:15 00:53:14:22 使用各種技倆，你能想像嗎
00:53:15:07 00:53:16:06 真的很可怕
00:53:16:16 00:53:17:23 我是說如果你想聽笑話
00:53:18:06 00:53:21:07 你可以以笑話的角度去看
00:53:21:17 00:53:24:09 蠢驢的行為
00:53:24:17 00:53:28:18 猶如他們在主管打理我們這個偉大的國家
00:53:29:03 00:53:30:19 他們大部份都是蠢驢
00:53:31:02 00:53:33:24 我沒有碰過多少個是明智合理的
00:53:34:05 00:53:36:21 那些明智合理的人都想成為蠢驢
00:53:37:03 00:53:40:23 該怎麼辦？他們最大的願望就是要這樣
00:53:41:08 00:53:45:08 試想像聖人竟然想成為蠢驢
00:53:45:18 00:53:49:06 要明白優點就是優點
00:53:49:13 00:53:51:06 我們不應喪失我們的優點
00:53:51:16 00:53:53:20 但任何缺點都要去糾正
00:53:54:05 00:53:57:17 這是對自己中庸平衡的看法
00:53:58:02 00:53:59:06 因為得益的是我們
00:53:59:17 00:54:02:00 沒有人會得益；霎哈嘉瑜伽士對此
00:54:02:08 00:54:04:17 要自私點。因為獲益的是我們
00:54:05:00 00:54:07:12 如果我們獲益，整體都會獲益
00:54:07:21 00:54:09:05 霎哈嘉瑜伽整體都獲益
00:54:09:13 00:54:12:09 這就是我要告訴你有關你的
00:54:12:16 00:54:15:08 社交生活，你的自我
00:54:15:17 00:54:17:16 這些都很重要
00:54:17:24 00:54:23:04 最重要的是當你在頂輪，你便成為我的腦袋
00:54:24:06 00:54:26:08 你真的成為我的腦袋
00:54:26:18 00:54:28:18 因此你們要非常小心
00:54:29:03 00:54:33:16 不是想着你的家庭
00:54:34:00 00:54:36:02 你的子女，你的家居
00:54:36:10 00:54:38:19 不是想着墨爾本也不是悉尼
00:54:39:00 00:54:41:11 的靈舍或澳洲
00:54:41:19 00:54:44:10 而是想着全世界
00:54:44:20 00:54:48:13 全宇宙，和它的福祉
00:54:48:23 00:54:50:07 當你成長到這個狀態
00:54:50:15 00:54:53:05 你便真的成為我腦袋的一部分
00:54:53:14 00:54:58:17 我的腦袋關注著更大的遠景，更高層次的事情
00:54:59:02 00:55:01:04 它也在較低層次運作
00:55:01:13 00:55:02:21 這是它的好處
00:55:03:04 00:55:05:21 它可在你們個人的層次運作
00:55:06:04 00:55:07:22 我放注意力在你們的個人問題
00:55:08:05 00:55:11:06 個人的建議，放注意力在任何你們說的話
00:55:11:14 00:55:15:05 但光卻是為着全宇宙
00:55:15:13 00:55:20:14 因此我們進入普世宗教的領域
00:55:20:23 00:55:23:08 我們要喚醒它，成就它
00:55:23:17 00:55:25:18 除非你們到達這層次
00:55:26:04 00:55:28:20 你仍不能稱為全面成熟的霎哈嘉瑜伽士
00:55:29:05 00:55:31:12 要達致這層次，你們必須很努力
00:55:31:20 00:55:33:19 又或我們可以現在稱呼你為霎哈嘉瑜伽士
00:55:34:01 00:55:35:20 你會成為偉大的瑜伽士
00:55:36:04 00:55:39:12 因此，我們要達致偉大瑜伽的狀態
00:55:39:21 00:55:42:22 從這到那是很簡單的，它自然成就
00:55:43:06 00:55:47:02 試想想，四年前我從沒想過
00:55:47:11 00:55:50:22 會有這麼多人能
00:55:51:05 00:55:53:24 成為我的子女，但今天卻實現了
00:55:54:08 00:55:57:09 四年間能有這麼漂亮
00:55:57:18 00:56:00:11 動人的成績，是很了不起的
00:56:00:19 00:56:03:06 明年的成就會更大
00:56:03:14 00:56:05:15 我從這裡的人身上可以看到
00:56:06:00 00:56:10:24 我們要明白，在霎哈嘉瑜伽
00:56:11:12 00:56:12:22 服從母親的說話是對的
00:56:13:06 00:56:15:21 但有些人有宰制人的壞習慣：
00:56:16:05 00:56:18:19 「看在母親的份上這樣做吧，是為了母親。」這個人是誰？
00:56:19:03 00:56:21:14 為什麼有人會說為了母親的原故而做一些事情？
00:56:21:22 00:56:23:15 或這是母親說的
00:56:23:24 00:56:27:08 不，當你成為靈，便會明白母親講的話
00:56:27:17 00:56:29:10 所以你要了解你的靈
00:56:29:19 00:56:31:13 這是成就它的最佳方法
00:56:31:23 00:56:32:23 而你會很好
00:56:33:08 00:56:36:12 我想我所有的孩子從這個高度成長
00:56:36:20 00:56:39:14 讓他們能在較好的基礎和層次開始
00:56:39:22 00:56:43:10 因為我們過往從較低層次開始
00:56:43:17 00:56:45:21 我們出問題；讓我們的孩子從
00:56:46:02 00:56:48:19 較高層次開始，我選擇了墨爾本
00:56:49:01 00:56:50:09 來讓孩子成長
00:56:50:18 00:56:52:21 我希望婦女們要做好她們的角色
00:56:53:04 00:56:54:08 男士們也要做好他們的角色
00:56:54:17 00:56:57:09 這裡會建立很好的家庭制度
00:56:57:18 00:57:02:16 很好的社會
00:57:04:18 00:57:08:03 這是什麼？關上它吧
00:57:10:22 00:57:14:03 我知道
00:57:21:11 00:57:24:19 我對光十分清楚
00:57:26:06 00:57:28:23 我知道它們怎樣行動
00:57:29:06 00:57:31:16 毗濕奴摩耶(Vishnumaya)，這是毗濕奴摩耶
00:57:31:23 00:57:33:02 我們利用了毗濕奴摩耶
00:57:33:10 00:57:37:19 我們就是從祂那處取得光，毗濕奴摩耶藏在哪裡？
00:57:38:03 00:57:41:04 你要明白，今天我們就是需要毗濕奴摩耶
00:57:41:13 00:57:43:15 我們要以精微的方式去了解
00:57:43:24 00:57:45:15 毗濕奴摩耶是怎樣來
00:57:46:00 00:57:48:12 看看這是多麼自然而然，因這東西來了
00:57:48:19 00:57:49:20 所以我能談毗濕奴摩耶
00:57:50:04 00:57:54:16 要把話題轉到毗濕奴摩耶不是件易事
00:57:56:01 00:57:59:15 你們一定要看這場戲劇，你們一定要看這場戲劇
00:57:59:21 00:58:02:09 這位毗濕奴摩耶，祂是怎樣來的？
00:58:02:18 00:58:05:07 祂怎能那麽漂亮的透過我作事？
00:58:05:18 00:58:07:12 怎樣，發生了什麼，祂從哪裡來？
00:58:07:21 00:58:11:15 水力發電，水力發電是什麼
00:58:11:23 00:58:13:07 在水中，是導師原理在水中
00:58:13:16 00:58:16:24 但當它下來
00:58:17:21 00:58:20:14 當導師原理來到你身上
00:58:21:05 00:58:26:02 在這層次，毗濕奴摩耶起作用
00:58:26:12 00:58:29:24 祂解放，祂起作用
00:58:30:08 00:58:32:16 為了什麼？為了開悟人
00:58:34:14 00:58:37:15 在粗糙層面發生的在精微層面發生
00:58:42:13 00:58:45:07 因此需要有降世神祇
00:58:46:04 00:58:48:13 導師原理要藉降世神祇
00:58:48:22 00:58:50:13 才能降臨地球
00:58:50:21 00:58:54:01 所以毗濕奴摩耶起作用，令人開悟
00:58:58:12 00:59:01:20 就是這樣，整件事就是這樣成就
00:59:02:02 00:59:04:02 你們看到我怎樣突然轉換了話題
00:59:04:09 00:59:08:01 你感覺不到
00:59:08:09 00:59:11:17 我只想讓你們知道，母親是怎樣轉換話題
00:59:12:01 00:59:15:09 因為我知道有些事情
00:59:15:20 00:59:18:13 在某處發生了，所以我轉換了話題
00:59:18:21 00:59:23:05 這話題看似很順暢地繼續
00:59:24:23 00:59:27:01 我要告訴你們另一件事是你們
00:59:27:11 00:59:29:21 一定要透徹了解霎哈嘉瑜伽
00:59:30:03 00:59:32:02 很少人真正懂得靈量
00:59:32:10 00:59:33:18 真正懂得生命能量
00:59:34:01 00:59:35:08 他們不知道幻海在哪裡
00:59:35:15 00:59:36:15 要開設定期課堂
00:59:36:24 00:59:38:20 即使穩定的霎哈嘉瑜伽士也要參加
00:59:39:03 00:59:41:04 幻海在雙腳哪個位置
00:59:41:14 00:59:42:20 輪穴在雙腳哪個位置？
00:59:43:02 00:59:46:18 當我叫他們按摩我的雙腳，他們不知道它(輪穴)的位置
00:59:47:14 00:59:50:12 你們可能沒有受過教育，不要緊
00:59:50:19 00:59:53:00 但你們要受霎哈嘉瑜伽的教育
00:59:53:09 00:59:55:05 受霎哈嘉瑜伽全面的教育
00:59:55:12 01:00:00:13 你要知道這些疾病從哪裡來
01:00:00:21 01:00:04:05 怎樣醫治它。你們每一位都要在這兒受教育
01:00:04:14 01:00:06:07 在上靜坐班之餘
01:00:06:16 01:00:10:00 你們也要上課學習
01:00:10:09 01:00:11:24 霎哈嘉瑜伽的知識
01:00:12:09 01:00:14:10 有什麼東西該做
01:00:14:19 01:00:16:24 有一本書，他們寫了一本關於
01:00:17:07 01:00:19:08 兒童的好書，可是卻欠缺自發性
01:00:19:16 01:00:20:19 所以我要下點功夫
01:00:21:03 01:00:25:11 不單只是書籍，還有很多我的錄音帶
01:00:25:21 01:00:27:09 當你們聆聽我的錄音
01:00:27:17 01:00:30:08 要把母親所說的話記下來
01:00:30:16 01:00:31:15 幫助你去了解
01:00:31:23 01:00:34:10 教育在霎哈嘉瑜伽很重要
01:00:34:18 01:00:37:06 否則你的聰明才智會生鏽
01:00:37:15 01:00:39:20 你要受霎哈嘉瑜伽全面的教育
01:00:40:03 01:00:41:24 不單要給人自覺
01:00:42:08 01:00:45:14 你們也要擁有知識，讓他人知道你們擁有豐富的知識
01:00:46:03 01:00:49:07 從來沒有人受過你們這個程度的教育
01:00:49:14 01:00:51:11 連聖人也沒有
01:00:51:20 01:00:53:13 所以你們要好好利用這優勢
01:00:53:22 01:00:56:20 不論你的年齡，教育程度
01:00:57:03 01:00:59:09 全都沒有關係，你們要知道
01:00:59:16 01:01:02:02 霎哈嘉瑜伽是什麼，它代表什麼，它怎樣起作用
01:01:02:11 01:01:06:04 向自己提問並找出答案
01:01:06:13 01:01:09:08 你們要知道，你們仍然是霎哈嘉瑜伽的學生
01:01:09:14 01:01:13:11 仍是霎哈嘉瑜伽的學生。你們要掌握它
01:01:13:20 01:01:15:16 要了解它的每字每句
01:01:15:23 01:01:17:19 單單享受霎哈嘉瑜伽是不夠的
01:01:18:03 01:01:19:04 你也要明白它
01:01:19:12 01:01:22:17 就像你享受別人造的蛋糕
01:01:23:00 01:01:24:09 你也要知道它是怎樣造的
01:01:24:17 01:01:27:04 那麽你便能造給他人吃
01:01:27:15 01:01:29:01 但如果你不懂怎樣造
01:01:29:08 01:01:31:24 便沒有人會相信你。我曾經見過這種情況
01:01:32:07 01:01:34:02 我見過有些霎哈嘉瑜伽士
01:01:34:13 01:01:36:06 不停的工作
01:01:36:15 01:01:39:12 他們很活躍，只因他們一向都如此
01:01:39:20 01:01:40:23 但有些人卻怠倦疏懶
01:01:41:05 01:01:43:14 你可以在兩個印度人身上
01:01:43:23 01:01:45:03 見到同樣的差異
01:01:45:13 01:01:48:13 雖然一個在這裡一個在哪裡，不需要這樣
01:01:48:21 01:01:52:12 每個人都要有同樣的
01:01:52:19 01:01:55:19 熱誠幹勁，不只是一個人
01:01:56:02 01:01:58:11 若只有一個人是這樣便作用不太
01:01:58:18 01:02:00:22 有時這個人會很支配他人
01:02:01:07 01:02:04:05 每個人都要工作，整個身體都要工作
01:02:04:13 01:02:05:16 如果我們能這樣發展
01:02:05:24 01:02:11:20 會對整體發展提昇大有幫助
01:02:12:18 01:02:15:00 對嗎？
01:02:15:10 01:02:18:21 所以今天在我壽辰的日子
01:02:19:15 01:02:21:22 我想大大的祝福你們
01:02:22:07 01:02:25:11 你們要知道，我在世的年歲在我的每個生日後都在減少
01:02:25:20 01:02:29:12 因此你們要成長去接班，這是很重要的
01:02:29:22 01:02:31:21 你們要成長是很重要的
01:02:32:05 01:02:33:09 我的所謂年齡
01:02:33:18 01:02:35:21 雖然看不出，但是在減少
01:02:36:04 01:02:38:22 你們要知道
01:02:39:06 01:02:42:05 因此要加快行動，爭取成就它
01:02:42:14 01:02:45:03 當人們來，跟他們好好地談，給他們喜樂
01:02:45:11 01:02:46:24 切勿給他們任何…給他們喜樂
01:02:47:07 01:02:48:13 照顧他們，對他們友善
01:02:48:21 01:02:50:07 這樣做比即時告訴他：
01:02:50:14 01:02:52:17 「你是亡靈，你離開。」較能吸引他們
01:02:53:00 01:02:55:00 當他們已在霎哈嘉瑜伽，當他們在這裡
01:02:55:07 01:02:56:05 我自會告訴他們
01:02:56:09 01:02:58:17 他們仍有問題，我知道有些人仍有問題
01:02:59:02 01:03:00:05 我們要告訴他們：
01:03:00:12 01:03:02:04 你有問題，你最好離開
01:03:02:13 01:03:04:11 這是可以的。他們需要離開靈舍
01:03:04:18 01:03:06:10 一段時間，然後再回來
01:03:06:19 01:03:09:07 就是要這樣，否則他們的問題得不到糾正
01:03:09:15 01:03:11:15 這些人也要欣然接受
01:03:11:23 01:03:13:13 他們會好的，他們要改變
01:03:13:22 01:03:16:07 這樣比因為自我而讓
01:03:16:15 01:03:18:21 他們繼續下去好得多
01:03:19:05 01:03:22:00 所以儘量與自己合作
01:03:22:07 01:03:24:11 因為它想變得更好，越來越好
01:03:24:22 01:03:27:00 我會要求那些人
01:03:27:08 01:03:30:00 我會告訴華倫，那些我認為
01:03:30:09 01:03:32:01 不妥當的人要離開靈舍
01:03:32:08 01:03:35:20 靈舍並非任何人都可以留下來
01:03:36:02 01:03:38:24 只有純潔到某程度的人才能留下
01:03:39:06 01:03:41:11 要符合起碼的標準
01:03:41:19 01:03:43:13 如果他們不符合標準，便要離開
01:03:43:21 01:03:46:00 即使愛支配人的女士
01:03:46:07 01:03:49:07 或像女人的男人，也要離開
01:03:49:17 01:03:50:24 你們要做正常人
01:03:51:08 01:03:53:07 否則其他人來到
01:03:53:15 01:03:58:17 看到有人像一塊這裡切下來的雞一樣，該怎麽辦
01:03:59:13 01:04:02:10 他們不會留下好印象
01:04:13:18 01:04:18:22 我告訴你，就如我展示給你看的那位痛苦悲慘的基督
01:04:19:04 01:04:20:13 無力地站在那兒
01:04:20:20 01:04:23:17 我不知道有誰會被祂感動
01:04:24:04 01:04:26:15 要像在
01:04:26:22 01:04:29:24 西斯丁教堂(Sistine Chapel)的基督
01:04:30:09 01:04:32:15 站在那裡像…(聽不清楚)，男人本該如此
01:04:32:24 01:04:38:00 要有尊嚴、尊貴、仁慈、
01:04:38:23 01:04:42:00 有威嚴
01:04:42:07 01:04:44:22 女士則要既甜美又和善親切
01:04:45:04 01:04:51:06 這樣的回報是又長又大
01:04:51:14 01:04:53:17 很長，很長的
01:04:54:01 01:04:56:07 你不會知道我獲得多少回報
01:04:56:15 01:04:58:19 今天卻很輕易的得到
01:04:59:05 01:05:01:17 你要明白，我不做霎哈嘉瑜伽的工作時
01:05:02:02 01:05:03:19 我天性是對人很友善
01:05:04:01 01:05:06:18 我的本性都發揮出來
01:05:07:12 01:05:11:05 舉一個例：在倫敦，有一個人來
01:05:11:14 01:05:16:02 他的名字 ...那個專員叫什麼名字？
01:05:16:15 01:05:19:24 浦那的專員，他現在是浦那專員
01:05:20:09 01:05:21:03 對吧
01:05:21:11 01:05:25:18 他來見我們，我們在我丈夫的辦公室之類的地方會面
01:05:26:01 01:05:28:05 我丈夫CP說：「我會叫他們來吃晚餐。」
01:05:28:12 01:05:30:06 我說：「好吧。」我在家煮晚餐
01:05:30:15 01:05:32:23 有大約二十五人來吃
01:05:33:04 01:05:35:07 他們用餐，不管如何我也
01:05:35:14 01:05:36:20 要照顧他們
01:05:37:02 01:05:39:03 當我來浦那
01:05:39:11 01:05:41:01 Mehrotra告訴我這個專員非常焦急
01:05:41:09 01:05:43:15 他要以會長或主席又或
01:05:43:22 01:05:46:17 接待委員會的身分來迎接我
01:05:47:01 01:05:49:03 我說︰我記不起這個男士是誰
01:05:49:12 01:05:50:21 我只記得這個名字
01:05:51:05 01:05:52:21 他說：「不、不、不、不、是另一位。」
01:05:53:05 01:05:56:05 他們其中一位來了
01:05:57:00 01:06:00:22 他很讚揚我。我很驚訝他見到那些事情
01:06:01:05 01:06:04:00 他說：「這位女士的丈夫地位崇高
01:06:04:07 01:06:07:20 卻仍很謙卑。她十分仁慈，像母親一般
01:06:08:01 01:06:10:03 他回家告訴妻子
01:06:10:09 01:06:11:18 我從未見過這樣的女性，
01:06:12:01 01:06:13:22 多麼完美的女性
01:06:14:06 01:06:15:13 我不知道自己做過些什麼
01:06:15:22 01:06:19:06 我必定是煮得很好，一定是
01:06:24:13 01:06:26:16 我也必定照顧得他很好
01:06:26:23 01:06:29:10 我必定對他和所有人都很親切
01:06:29:17 01:06:33:03 我一定是忙著打點而什麼也沒吃
01:06:33:10 01:06:34:20 我一定是做了一些事情
01:06:35:02 01:06:35:22 連我也忘記自己做過什麼
01:06:36:04 01:06:38:02 我只是依照自己的本質來行事
01:06:38:10 01:06:40:16 不單是今天，我見過很多這類情況
01:06:40:24 01:06:43:10 只因為我是這樣
01:06:43:18 01:06:46:04 只因為這是我的本質
01:06:46:13 01:06:51:01 你知道我們駐英高級專員
01:06:51:10 01:06:54:03 第一任及第二任的專員
01:06:54:11 01:06:55:17 第二位專員叫B.K.Neru
01:06:56:00 01:06:59:00 他們對我都極之尊敬，
01:06:59:09 01:07:02:02 實在難以想像
01:07:02:19 01:07:06:13 因為你要親切、為人設想和親切友善
01:07:06:19 01:07:10:02 你在這裡照顧我，我照顧他們
01:07:10:15 01:07:13:09 因此他們印象這麼深
01:07:13:17 01:07:15:23 我告訴你，我丈夫的朋友和每一個人
01:07:16:06 01:07:18:12 對我都非常尊重敬愛
01:07:18:20 01:07:21:03 我們跟印度法律部的首長和
01:07:21:11 01:07:25:06 情報科的領導見面
01:07:25:14 01:07:28:11 他以皇室的待遇招呼我們
01:07:28:20 01:07:30:19 海關首長獲悉
01:07:31:02 01:07:34:07 母親的孩子會來
01:07:34:15 01:07:37:24 他親自到機場，你知道嗎？
01:07:38:04 01:07:40:06 他就是坐在這裡，我不知
01:07:40:15 01:07:42:17 他有沒有出來見你們
01:07:43:03 01:07:45:07 那只是我跟他們的私人交情
01:07:45:15 01:07:47:11 不然有誰會關心誰是誰的妻子？
01:07:47:20 01:07:49:04 很多人跟隨我丈夫
01:07:49:12 01:07:51:08 卻沒有人關心他們的太太
01:07:51:17 01:07:54:12 這次我跟丈夫
01:07:54:22 01:07:56:15 到中國
01:07:56:24 01:08:01:19 他在日本和其他地方如檀香山的助手
01:08:02:05 01:08:05:00 都專程來見我。
01:08:05:09 01:08:06:24 他來則沒有人來見他
01:08:07:06 01:08:11:01 他說：「你來了，他們都來見你。」
01:08:13:08 01:08:14:06 你相信嗎？
01:08:14:14 01:08:18:06 對他們來說我只是一位女士
01:08:18:13 01:08:19:22 這是很有力量的事情
01:08:20:05 01:08:23:08 是很有力量的事情，女性要懂烹飪
01:08:23:16 01:08:24:10 這是很重要的
01:08:24:17 01:08:26:01 如果不懂烹飪，她們便不是女性
01:08:26:08 01:08:27:10 我也不認為她們是女性
01:08:27:19 01:08:30:02 女士們全都要懂得烹飪
01:08:30:11 01:08:33:19 你們要學習烹飪，每個人都要學習
01:08:34:03 01:08:35:00 這是很重要的
01:08:35:08 01:08:38:14 女性的潛在力量就是她怎樣煮食
01:08:39:00 01:08:40:16 你要明白，我們的男人不會去其他地方
01:08:40:24 01:08:45:10 因為我們的烹飪功夫很到家，他們都回家吃飯
01:08:45:20 01:08:48:16 他們記掛着食物
01:08:50:17 01:08:53:00 這就是你們擁有的力量
01:08:53:10 01:08:55:09 今天是我的生日
01:08:55:17 01:08:57:07 所以我們只會有一個簡短的崇拜
01:08:57:16 01:09:03:10 在生日舉行的崇拜應該是
01:09:05:07 01:09:10:07 更深入，更真誠，更喜樂
01:09:10:18 01:09:15:22 不宜流於儀式化
01:09:16:06 01:09:17:14 不需要有太多儀式
01:09:17:21 01:09:18:24 因為我們都滿懷喜樂地
01:09:19:08 01:09:20:17 慶祝母親的壽辰
01:09:20:24 01:09:22:05 我們已經在這裡
01:09:22:14 01:09:24:16 令你到達這裡的條件已不再需要了
01:09:24:24 01:09:27:15 因為你們都滿懷喜樂
01:09:27:19 01:09:28:15 對嗎？
01:09:29:00 01:09:32:04 所以我告訴他，在今天我的生辰
01:09:32:12 01:09:33:24 做一個很短的崇拜
01:09:34:08 01:09:36:12 不需要有盛大的崇拜
01:09:36:20 01:09:40:12 只要邀請所有神祇
01:09:40:21 01:09:43:02 祂們都已來臨，在上面
01:09:43:11 01:09:45:18 看看祂們散發的生命能量！
01:09:46:01 01:09:49:20 祂們多麼高興你們為我慶祝生日
01:09:50:04 01:09:53:10 我們在每一個崇拜都要喚醒祂們
01:09:53:20 01:09:56:08 請求祂們對你們慈悲等等
01:09:56:16 01:09:58:19 雖然祂們都在我之內被喚醒，你希望祂們這樣
01:09:59:02 01:10:00:15 現在祂們都在你們內裡被喚醒了
01:10:00:22 01:10:02:17 根本不需要盛大的崇拜
01:10:03:01 01:10:04:07 完全沒有這個需要
01:10:04:14 01:10:07:12 我就是如此告訴穆地，你們做一個
01:10:07:19 01:10:11:04 很短，很短的崇拜，一個很短的崇拜已經可以了
01:10:11:12 01:10:13:18 今天的講話就像崇拜一樣
01:10:14:02 01:10:16:20 請記著當你不是霎哈嘉瑜伽士
01:10:17:04 01:10:18:09 它是對你說的
01:10:18:18 01:10:23:08 今天不是說你們，所以不要感到內疚
01:10:25:15 01:10:27:07 你們先要記著自己是霎哈嘉瑜伽士
01:10:27:13 01:10:29:16 是我的孩子，我很愛
01:10:29:24 01:10:31:03 很愛你們
01:10:31:11 01:10:33:06 所以請對自己有信心
01:10:33:14 01:10:35:22 對自己充滿信心，好嗎？
01:10:36:05 01:10:38:05 這是你們今天能給我的最大的禮物
01:10:38:13 01:10:41:24 願神祝福你們！
01:10:42:16 01:10:46:12 錫呂瑪塔吉說印地語
01:10:56:23 01:11:00:17 你們替我洗腳
01:11:01:02 01:11:02:13 五至十分鐘
01:11:02:24 01:11:06:05 洗手約十分鐘
01:11:06:13 01:11:07:22 就是這麼簡單
01:11:08:07 01:11:09:23 不需要太多人
01:11:10:07 01:11:12:14 把那東西放在這裡


